pi,year,doi,title,title_clean
Stacey H Chen,2011,10.1371/journal.ppat.1002278,The Herpes Simplex Virus-1 Transactivator Infected Cell Protein-4 Drives VEGF-A Dependent Neovascularization,the herpes simplex virus-1 transactivator infected cell protein-4 drives vegf-a dependent neovascularization
Stacey H Chen,2017,10.17863/cam.25883,Protein-Truncating Variants at the Cholesteryl Ester Transfer Protein Gene and Risk for Coronary Heart Disease.,protein-truncating variants at the cholesteryl ester transfer protein gene and risk for coronary heart disease.
Stacey H Chen,2007,10.1016/j.asr.2007.05.081,"The Space Infrared Interferometric Telescope (SPIRIT): High-resolution
  imaging and spectroscopy in the far-infrared","the space infrared interferometric telescope (spirit): high-resolution
  imaging and spectroscopy in the far-infrared"
Stacey H Chen,2013,10.1371/journal.pone.0058507,Weak-periodic stochastic resonance in a parallel array of static nonlinearities,weak-periodic stochastic resonance in a parallel array of static nonlinearities
Stacey H Chen,2017,10.1007/s11157-017-9439-9,Monitoring biological wastewater treatment processes: Recent advances in spectroscopy applications,monitoring biological wastewater treatment processes: recent advances in spectroscopy applications
Stacey H Chen,2010,10.1371/journal.pgen.1001016,"Evaluation of Candidate Stromal Epithelial Cross-Talk Genes Identifies Association between Risk of Serous Ovarian Cancer and TERT, a Cancer Susceptibility “Hot-Spot”","evaluation of candidate stromal epithelial cross-talk genes identifies association between risk of serous ovarian cancer and tert, a cancer susceptibility “hot-spot”"
Stacey H Chen,2010,10.1371/journal.pgen.1001003,Tandem E2F Binding Sites in the Promoter of the p107 Cell Cycle Regulator Control p107 Expression and Its Cellular Functions,tandem e2f binding sites in the promoter of the p107 cell cycle regulator control p107 expression and its cellular functions
Stacey H Chen,2011,10.1371/journal.pone.0025734,"RANTES/CCL5 and risk for coronary events: Results from the MONICA/KORA Augsburg case-cohort, Athero-express and CARDIoGRAM studies","rantes/ccl5 and risk for coronary events: results from the monica/kora augsburg case-cohort, athero-express and cardiogram studies"
Stacey H Chen,2022,10.1038/s41586-022-04556-w,Rare coding variants in ten genes confer substantial risk for schizophrenia,rare coding variants in ten genes confer substantial risk for schizophrenia
Stacey H Chen,2010,10.1007/s11248-010-9446-x,Recommendations for the design of laboratory studies on non-target arthropods for risk assessment of genetically engineered plants,recommendations for the design of laboratory studies on non-target arthropods for risk assessment of genetically engineered plants
Stacey H Chen,2010,10.1371/journal.pone.0019758,Functional Interactions between Retinoblastoma and c-MYC in a Mouse Model of Hepatocellular Carcinoma,functional interactions between retinoblastoma and c-myc in a mouse model of hepatocellular carcinoma
Stacey H Chen,2012,10.17863/cam.48618,Insights into hominid evolution from the gorilla genome sequence.,insights into hominid evolution from the gorilla genome sequence.
Stacey H Chen,2015,10.1038/tp.2015.149,Genome-wide meta-analysis reveals common splice site acceptor variant in CHRNA4 associated with nicotine dependence,genome-wide meta-analysis reveals common splice site acceptor variant in chrna4 associated with nicotine dependence
Stacey H Chen,2024,10.1158/1078-0432.ccr-23-3552,Concurrent RB1 Loss and BRCA Deficiency Predicts Enhanced Immunologic Response and Long-term Survival in Tubo-ovarian High-grade Serous Carcinoma,concurrent rb1 loss and brca deficiency predicts enhanced immunologic response and long-term survival in tubo-ovarian high-grade serous carcinoma
Stacey H Chen,2023,10.1038/s41588-023-01531-7,Author Correction: Multi-ancestry genome-wide association analyses improve resolution of genes and pathways influencing lung function and chronic obstructive pulmonary disease risk,author correction: multi-ancestry genome-wide association analyses improve resolution of genes and pathways influencing lung function and chronic obstructive pulmonary disease risk
Stacey H Chen,2020,10.1038/s41423-020-00581-9,Uncovering the multifaceted roles played by neutrophils in allogeneic hematopoietic stem cell transplantation,uncovering the multifaceted roles played by neutrophils in allogeneic hematopoietic stem cell transplantation
Edward Feser,2003,10.17615/rxb6-qd05,"Out-Migration, Depopulation, And The Geography Of U.S. Economic Distress","out-migration, depopulation, and the geography of u.s. economic distress"
Edward Feser,2017,10.22004/ag.econ.132986,Encouraging Broadband Deployment from the Bottom Up,encouraging broadband deployment from the bottom up
Edward Feser,2000,10.1080/00343400050005844,National Industry Cluster Templates: A Framework for Applied Regional Cluster Analysis,national industry cluster templates: a framework for applied regional cluster analysis
Richard Chard,1998,10.26153/tsw/615,Topology Driven Improvement of FDC Build Parameters,topology driven improvement of fdc build parameters
Richard Chard,2012,10.1186/1757-1146-5-s1-o19,Effect of thong style flip-flops on children’s midfoot motion during gait,effect of thong style flip-flops on children’s midfoot motion during gait
Richard Chard,2000,10.1016/s0735-1097(99)00559-8,"Mechanism, localization and cure of atrial arrhythmias occurring after a new intraoperative endocardial radiofrequency ablation procedure for atrial fibrillation ","mechanism, localization and cure of atrial arrhythmias occurring after a new intraoperative endocardial radiofrequency ablation procedure for atrial fibrillation"
Richard Chard,1994,10.1016/0735-1097(94)90030-2,Surgical procedure for the cure of atrioventricular junctional (“AV node”) reentrant tachycardia: Anatomic and electrophysiologic effects of dissection of the anterior atrionodal connections in a canine model ,surgical procedure for the cure of atrioventricular junctional (“av node”) reentrant tachycardia: anatomic and electrophysiologic effects of dissection of the anterior atrionodal connections in a canine model
Richard Chard,2013,10.1186/1757-1146-6-8,Effect of thong style flip-flops on children’s barefoot walking and jogging kinematics,effect of thong style flip-flops on children’s barefoot walking and jogging kinematics
Richard Chard,2007,10.2139/ssrn.982241,"Intellectual Property Rights, Parallel Imports and Strategic Behavior","intellectual property rights, parallel imports and strategic behavior"
Richard Chard,2024,10.5281/zenodo.13844758,Workflows Community Summit 2024:Future Trends and Challenges in Scientific Workflows,workflows community summit 2024:future trends and challenges in scientific workflows
Richard Chard,2023,10.1016/s2214-109x(22)00549-6,Spatiotemporal variation in risk of Shigella infection in childhood : a global risk mapping and prediction model using individual participant data,spatiotemporal variation in risk of shigella infection in childhood : a global risk mapping and prediction model using individual participant data
Richard Chard,2020,10.1016/j.neuroimage.2020.117031,ExploreASL: an image processing pipeline for multi-center ASL perfusion MRI studies,exploreasl: an image processing pipeline for multi-center asl perfusion mri studies
Richard Chard,2021,10.1016/j.drugalcdep.2020.108365,PTSD improvement and substance use disorder treatment utilization in veterans: Evidence from medical record data,ptsd improvement and substance use disorder treatment utilization in veterans: evidence from medical record data
Richard Chard,2015,10.2139/ssrn.2553581,"Humankind in Civilization's Extended Order: A Tragedy, The First Part","humankind in civilization's extended order: a tragedy, the first part"
Richard Chard,2020,10.3847/1538-4365/abd62c,The LSST DESC DC2 Simulated Sky Survey,the lsst desc dc2 simulated sky survey
Daniel A Bens,2023,10.1038/s41416-023-02197-y,The HLA ligandome of oropharyngeal squamous cell carcinomas reveals shared tumour-exclusive peptides for semi-personalised vaccination,the hla ligandome of oropharyngeal squamous cell carcinomas reveals shared tumour-exclusive peptides for semi-personalised vaccination
Daniel A Bens,2009,10.1371/journal.pone.0004258,Methicillin-Resistant Staphylococcus aureus (MRSA) Strain ST398 Is Present in Midwestern U.S. Swine and Swine Workers,methicillin-resistant staphylococcus aureus (mrsa) strain st398 is present in midwestern u.s. swine and swine workers
Daniel A Bens,2023,10.1158/0008-5472.can-22-3713,A Genetic Locus within the FMN1/GREM1 Gene Region Interacts with Body Mass Index in Colorectal Cancer Risk,a genetic locus within the fmn1/grem1 gene region interacts with body mass index in colorectal cancer risk
Ingrid G Ellen,2012,10.1371/journal.pone.0038175,"Colorectal cancer linkage on chromosomes 4q21, 8q13, 12q24, and 15q22","colorectal cancer linkage on chromosomes 4q21, 8q13, 12q24, and 15q22"
Ingrid G Ellen,2012,10.1371/journal.pone.0049475,Characteristics and Predictive Value of Blood Transcriptome Signature in Males with Autism Spectrum Disorders,characteristics and predictive value of blood transcriptome signature in males with autism spectrum disorders
Ingrid G Ellen,2022,10.1186/s40478-022-01415-7,Sporadic Creutzfeldt-Jakob disease VM1: phenotypic and molecular characterization of a novel subtype of human prion disease,sporadic creutzfeldt-jakob disease vm1: phenotypic and molecular characterization of a novel subtype of human prion disease
Ingrid G Ellen,2018,10.1073/pnas.1810630115,Quantifying resilience of humans and other animals,quantifying resilience of humans and other animals
Ingrid G Ellen,2018,10.1136/bmjopen-2018-021521,Rationale and design for the detection and neurological impact of cerebrovascular events in non-cardiac surgery patients cohort evaluation (NeuroVISION) study : a prospective international cohort study,rationale and design for the detection and neurological impact of cerebrovascular events in non-cardiac surgery patients cohort evaluation (neurovision) study : a prospective international cohort study
Ingrid G Ellen,2011,10.1371/journal.pone.0019665,Vaginally Administered PEGylated LIF Antagonist Blocked Embryo Implantation and Eliminated Non-Target Effects on Bone in Mice,vaginally administered pegylated lif antagonist blocked embryo implantation and eliminated non-target effects on bone in mice
Ingrid G Ellen,2011,10.1371/journal.pone.0019138,The Expression of VEGF-A Is Down Regulated in Peripheral Blood Mononuclear Cells of Patients with Secondary Progressive Multiple Sclerosis,the expression of vegf-a is down regulated in peripheral blood mononuclear cells of patients with secondary progressive multiple sclerosis
Ingrid G Ellen,2021,10.1016/j.ajhg.2021.04.008,Truncating SRCAP variants outside the Floating-Harbor syndrome locus cause a distinct neurodevelopmental disorder with a specific DNA methylation signature,truncating srcap variants outside the floating-harbor syndrome locus cause a distinct neurodevelopmental disorder with a specific dna methylation signature
Ingrid G Ellen,2019,10.1016/j.energy.2018.10.053,"Sustainable energy storage for solar home systems in rural Sub-Saharan Africa – A comparative examination of lifecycle aspects of battery technologies for circular economy, with emphasis on the South African context","sustainable energy storage for solar home systems in rural sub-saharan africa – a comparative examination of lifecycle aspects of battery technologies for circular economy, with emphasis on the south african context"
Ingrid G Ellen,2013,10.1007/s11576-013-0378-y,Cloud Computing As a Tool for Enhancing Ecological Goals?,cloud computing as a tool for enhancing ecological goals?
Ingrid G Ellen,2009,10.1371/journal.pgen.1000539,NRXN3 Is a Novel Locus for Waist Circumference: A Genome-Wide Association Study from the CHARGE Consortium,nrxn3 is a novel locus for waist circumference: a genome-wide association study from the charge consortium
Ingrid G Ellen,2023,10.1101/2022.03.01.22271652,Large-scale analysis of structural brain asymmetries in schizophrenia via the ENIGMA consortium,large-scale analysis of structural brain asymmetries in schizophrenia via the enigma consortium
Ingrid G Ellen,2019,10.1038/s41598-019-52000-3,Development and validation of a targeted gene sequencing panel for application to disparate cancers,development and validation of a targeted gene sequencing panel for application to disparate cancers
Ingrid G Ellen,2011,10.1371/journal.pmed.1001116,"Physical activity attenuates the influence of FTO variants on obesity risk: A meta-analysis of 218,166 adults and 19,268 children","physical activity attenuates the influence of fto variants on obesity risk: a meta-analysis of 218,166 adults and 19,268 children"
Ingrid G Ellen,2016,10.17615/07fz-zt78,New loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk,new loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk
Ingrid G Ellen,2019,10.1126/science.aav7188,Multiple sclerosis genomic map implicates peripheral immune cells and microglia in susceptibility,multiple sclerosis genomic map implicates peripheral immune cells and microglia in susceptibility
Ingrid G Ellen,2022,10.1016/s2589-7500(22)00018-8,Implementation of corticosteroids in treating COVID-19 in the ISARIC WHO Clinical Characterisation Protocol UK:prospective observational cohort study,implementation of corticosteroids in treating covid-19 in the isaric who clinical characterisation protocol uk:prospective observational cohort study
Ingrid G Ellen,2017,10.17863/cam.18100,Genomic correlates of glatiramer acetate adverse cardiovascular effects lead to a novel locus mediating coronary risk,genomic correlates of glatiramer acetate adverse cardiovascular effects lead to a novel locus mediating coronary risk
Ingrid G Ellen,2023,10.1038/s43856-023-00371-0,Precision gestational diabetes treatment: a systematic review and meta-analyses,precision gestational diabetes treatment: a systematic review and meta-analyses
Ingrid G Ellen,2023,10.1038/s43856-023-00368-9,Genotype-stratified treatment for monogenic insulin resistance: a systematic review,genotype-stratified treatment for monogenic insulin resistance: a systematic review
Ingrid G Ellen,2022,10.1093/ofid/ofac179,Procalcitonin Is Not a Reliable Biomarker of Bacterial Coinfection in People With Coronavirus Disease 2019 Undergoing Microbiological Investigation at the Time of Hospital Admission,procalcitonin is not a reliable biomarker of bacterial coinfection in people with coronavirus disease 2019 undergoing microbiological investigation at the time of hospital admission
Ingrid G Ellen,2023,10.5282/ubm/epub.94706,Non-Standard Errors,non-standard errors
Ingrid G Ellen,2018,10.1007/s40271-018-0340-6,Validity of the Patient Experiences and Satisfaction with Medications (PESaM) Questionnaire,validity of the patient experiences and satisfaction with medications (pesam) questionnaire
Ingrid G Ellen,2016,10.1038/ncomms10495,New loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk,new loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk
Ingrid G Ellen,2021,10.17863/cam.64868,CYP3A7*1C allele: linking premenopausal oestrone and progesterone levels with risk of hormone receptor-positive breast cancers,cyp3a7*1c allele: linking premenopausal oestrone and progesterone levels with risk of hormone receptor-positive breast cancers
Ingrid G Ellen,2021,10.17863/cam.77349,"Vitamin D insufficiency in COVID-19 and influenza A, and critical illness survivors: a cross-sectional study","vitamin d insufficiency in covid-19 and influenza a, and critical illness survivors: a cross-sectional study"
Ingrid G Ellen,2021,10.1016/s2666-5247(21)00090-2,"Co-infections, secondary infections, and antimicrobial use in patients hospitalised with COVID-19 during the first pandemic wave from the ISARIC WHO CCP-UK study: a multicentre, prospective cohort study","co-infections, secondary infections, and antimicrobial use in patients hospitalised with covid-19 during the first pandemic wave from the isaric who ccp-uk study: a multicentre, prospective cohort study"
Ingrid G Ellen,2024,10.1002/cpt.3132,The European list of key medicines for medical education : a modified Delphi study,the european list of key medicines for medical education : a modified delphi study
Ingrid G Ellen,2021,10.1126/science.abj3624,A prenylated dsRNA sensor protects against severe COVID-19,a prenylated dsrna sensor protects against severe covid-19
Ingrid G Ellen,2021,10.1016/s2665-9913(21)00104-1,"Non-steroidal anti-inflammatory drug use and outcomes of COVID-19 in the ISARIC Clinical Characterisation Protocol UK cohort: a matched, prospective cohort study.","non-steroidal anti-inflammatory drug use and outcomes of covid-19 in the isaric clinical characterisation protocol uk cohort: a matched, prospective cohort study."
Ingrid G Ellen,2022,10.1093/ofid/ofac531,Viral coinfections in hospitalized coronavirus disease 2019 patients recruited to the international severe acute respiratory and emerging infections consortium WHO clinical characterisation protocol UK study,viral coinfections in hospitalized coronavirus disease 2019 patients recruited to the international severe acute respiratory and emerging infections consortium who clinical characterisation protocol uk study
Ingrid G Ellen,2023,10.1186/s13059-023-02881-5,The P323L substitution in the SARS-CoV-2 polymerase (NSP12) confers a selective advantage during infection,the p323l substitution in the sars-cov-2 polymerase (nsp12) confers a selective advantage during infection
Ingrid G Ellen,2021,10.1016/s0140-6736(21)00799-6,"Characterisation of in-hospital complications associated with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol UK: a prospective, multicentre cohort study","characterisation of in-hospital complications associated with covid-19 using the isaric who clinical characterisation protocol uk: a prospective, multicentre cohort study"
Ingrid G Ellen,2018,10.1038/s41598-017-14403-y.,Telomerecat: A ploidy-agnostic method for estimating telomere length from whole genome sequencing data,telomerecat: a ploidy-agnostic method for estimating telomere length from whole genome sequencing data
Ingrid G Ellen,2016,10.1016/s0140-6736(16)31467-2,Measuring the health-related Sustainable Development Goals in 188 countries : a baseline analysis from the Global Burden of Disease Study 2015,measuring the health-related sustainable development goals in 188 countries : a baseline analysis from the global burden of disease study 2015
Ingrid G Ellen,2019,10.17863/cam.39838,Bi-allelic Loss-of-Function CACNA1B Mutations in Progressive Epilepsy-Dyskinesia.,bi-allelic loss-of-function cacna1b mutations in progressive epilepsy-dyskinesia.
Ingrid G Ellen,2015,10.1038/srep12810,"Improved canine exome designs, featuring ncRNAs and increased coverage of protein coding genes","improved canine exome designs, featuring ncrnas and increased coverage of protein coding genes"
Andrew J Houtenville,2018,10.1136/bmjopen-2017-017828,"Estimates of prevalence, demographic characteristics and social factors among people with disabilities in the USA: a cross-survey comparison","estimates of prevalence, demographic characteristics and social factors among people with disabilities in the usa: a cross-survey comparison"
Andrew J Houtenville,2004,10.2139/ssrn.892355,Has the Employment Rate of People with Disabilities Declined? Policy Brief,has the employment rate of people with disabilities declined? policy brief
Andrew J Houtenville,2003,10.17848/9780585473666.ch3,Employment Declines among People with Disabilities,employment declines among people with disabilities
Andrew J Houtenville,2021,10.1016/j.apmr.2021.03.019,Changes in the employment status of people with and without disabilities in the United States during the COVID-19 pandemic,changes in the employment status of people with and without disabilities in the united states during the covid-19 pandemic
Andrew J Houtenville,2009,10.17848/9781441612687.ch6,Poverty,poverty
Andrew J Houtenville,2003,10.17848/9780585473666.ch5,Rising Health Care Expenditures and the Employment of People with High-Cost Chronic Conditions,rising health care expenditures and the employment of people with high-cost chronic conditions
Andrew J Houtenville,2003,10.17848/9780585473666.ch4,Have Changes in the Nature of Work or the Labor Market Reduced Employment Prospects of Workers with Disabilities?,have changes in the nature of work or the labor market reduced employment prospects of workers with disabilities?
Andrew J Houtenville,2009,10.17848/9781441612687.ch1,"Purpose, Overview and Key Conclusions","purpose, overview and key conclusions"
Andrew J Houtenville,2009,10.17848/9781441612687.ch3,Disability Prevalence and Demographics,disability prevalence and demographics
Andrew J Houtenville,2014,10.2139/ssrn.2416991,Is the 2010 Affordable Care Act Minimum Standard to Identify Disability in All National Datasets Good Enough for Policy Purposes?,is the 2010 affordable care act minimum standard to identify disability in all national datasets good enough for policy purposes?
Andrew J Houtenville,2009,10.1007/s10926-009-9194-z,Age and Disability Employment Discrimination: Occupational Rehabilitation Implications,age and disability employment discrimination: occupational rehabilitation implications
Andrew J Houtenville,2017,10.1007/s12122-017-9245-8,The Distribution of Returns to Education for People with Disabilities,the distribution of returns to education for people with disabilities
John J Stevens,2008,10.1088/1367-2630/10/2/023028,Ray-optical negative refraction and pseudoscopic imaging with Dove-prism arrays,ray-optical negative refraction and pseudoscopic imaging with dove-prism arrays
John J Stevens,2009,10.1016/j.still.2009.04.009,"The effects of minimal tillage, contour cultivation and in-field vegetative barriers on soil erosion and phosphorus loss.","the effects of minimal tillage, contour cultivation and in-field vegetative barriers on soil erosion and phosphorus loss."
John J Stevens,2017,10.1080/02678292.2017.1343500,Developments in liquid-crystalline dimers and oligomers,developments in liquid-crystalline dimers and oligomers
John J Stevens,2016,10.17863/cam.32840,Which cuff should I use? Indirect blood pressure measurement for the diagnosis of hypertension in patients with obesity: a diagnostic accuracy review.,which cuff should i use? indirect blood pressure measurement for the diagnosis of hypertension in patients with obesity: a diagnostic accuracy review.
John J Stevens,2001,10.1103/physreva.63.044104,The twin paradox in compact spaces,the twin paradox in compact spaces
John J Stevens,2015,10.1890/14-1690.1,A stochastic movement simulator improves estimates of landscape connectivity,a stochastic movement simulator improves estimates of landscape connectivity
John J Stevens,2015,10.1111/avsc.12206,"Drivers of vegetation change in grasslands of the Sheffield region, northern England, between 1965 and 2012/13","drivers of vegetation change in grasslands of the sheffield region, northern england, between 1965 and 2012/13"
John J Stevens,2020,10.1027/1864-9335/a000417,Risk-taking that signals trust increases social identification,risk-taking that signals trust increases social identification
John J Stevens,1997,10.1023/a:1018826228212,Can Inflation be Falsified?,can inflation be falsified?
John J Stevens,1998,10.1016/s0092-8674(00)81771-7,"Structure of the Hemagglutinin Precursor Cleavage Site, a Determinant of Influenza Pathogenicity and the Origin of the Labile Conformation ","structure of the hemagglutinin precursor cleavage site, a determinant of influenza pathogenicity and the origin of the labile conformation"
John J Stevens,2018,10.17863/cam.25568,Spatial distribution of clinical computer systems in primary care in England in 2016 and implications for primary care electronic medical record databases: a cross-sectional population study.,spatial distribution of clinical computer systems in primary care in england in 2016 and implications for primary care electronic medical record databases: a cross-sectional population study.
John J Stevens,2019,10.1038/s41598-019-44547-y,Disrupted Maturation of the Microbiota and Metabolome among Extremely Preterm Infants with Postnatal Growth Failure,disrupted maturation of the microbiota and metabolome among extremely preterm infants with postnatal growth failure
John J Stevens,2016,10.1002/2015ja021935,Ion‐driven instabilities in the solar wind: Wind observations of 19 March 2005,ion‐driven instabilities in the solar wind: wind observations of 19 march 2005
John J Stevens,2015,10.1161/circresaha.115.306806,MicroRNA-143 activation regulates smooth muscle and endothelial cell crosstalk in pulmonary arterial hypertension,microrna-143 activation regulates smooth muscle and endothelial cell crosstalk in pulmonary arterial hypertension
John J Stevens,2019,10.1080/2162402x.2019.1608106,Exposure to the antimicrobial peptide LL-37 produces dendritic cells optimized for immunotherapy,exposure to the antimicrobial peptide ll-37 produces dendritic cells optimized for immunotherapy
John J Stevens,2007,10.1155/s1064744900000089,"Association Between HIV in Pregnancy and Antiretroviral Therapy, Including Protease Inhibitors and Low Birth Weight Infants","association between hiv in pregnancy and antiretroviral therapy, including protease inhibitors and low birth weight infants"
John J Stevens,2008,10.1084/jem.20072484,The transcription factor NFATc2 controls IL-6-dependent T cell activation in experimental colitis.,the transcription factor nfatc2 controls il-6-dependent t cell activation in experimental colitis.
John J Stevens,2015,10.1039/c5cp04656d,A structural and physical study of sol–gel methacrylate–silica hybrids: intermolecular spacing dictates the mechanical properties,a structural and physical study of sol–gel methacrylate–silica hybrids: intermolecular spacing dictates the mechanical properties
John J Stevens,2014,10.1007/s10461-014-0961-2,On the Efficacy and Mediation of a One-on-One HIV Risk-Reduction Intervention for African American Men Who Have Sex With Men: A Randomized Controlled Trial,on the efficacy and mediation of a one-on-one hiv risk-reduction intervention for african american men who have sex with men: a randomized controlled trial
John J Stevens,2023,10.3389/fcell.2023.1214962,Dynamics of chromosome organization in a minimal bacterial cell,dynamics of chromosome organization in a minimal bacterial cell
John J Stevens,2016,10.1002/2015pa002851,"Five millennia of surface temperatures and ice core bubble characteristics from the WAIS Divide deep core, West Antarctica","five millennia of surface temperatures and ice core bubble characteristics from the wais divide deep core, west antarctica"
John J Stevens,2007,10.1371/journal.pmed.0040097,Objectively measured physical activity and fat mass in a large cohort of children,objectively measured physical activity and fat mass in a large cohort of children
John J Stevens,2018,10.1371/journal.pone.0198099,Interrogation of transcriptomic changes associated with drug-induced hepatic sinusoidal dilatation in colorectal cancer,interrogation of transcriptomic changes associated with drug-induced hepatic sinusoidal dilatation in colorectal cancer
John J Stevens,2016,10.3847/1538-3881/aa6572,"KELT-11b: A Highly Inflated Sub-Saturn Exoplanet Transiting the V=8
  Subgiant HD 93396","kelt-11b: a highly inflated sub-saturn exoplanet transiting the v=8
  subgiant hd 93396"
John J Stevens,2019,10.1186/s13023-019-1074-9.,Recommendations for the management of MPS IVA: systematic evidence- and consensus-based guidance.,recommendations for the management of mps iva: systematic evidence- and consensus-based guidance.
John J Stevens,2018,10.3390/v10080410,"Phaeoviral infections are present in macrocystis, ecklonia and undaria (laminariales) and are influenced by wave exposure in ectocarpales","phaeoviral infections are present in macrocystis, ecklonia and undaria (laminariales) and are influenced by wave exposure in ectocarpales"
John J Stevens,2015,10.1088/0004-637x/810/1/30,"KELT-8b: A highly inflated transiting hot Jupiter and a new technique
  for extracting high-precision radial velocities from noisy spectra","kelt-8b: a highly inflated transiting hot jupiter and a new technique
  for extracting high-precision radial velocities from noisy spectra"
John J Stevens,2016,10.1093/mnras/stw880,"KELT-10b: The First Transiting Exoplanet from the KELT-South Survey -- A
  Hot Sub-Jupiter Transiting a V = 10.7 Early G-Star","kelt-10b: the first transiting exoplanet from the kelt-south survey -- a
  hot sub-jupiter transiting a v = 10.7 early g-star"
John J Stevens,2010,10.1177/0013124510366224,Slogging and Stumbling Toward Social Justice in a Private Elementary School: The Complicated Case of St. Malachy,slogging and stumbling toward social justice in a private elementary school: the complicated case of st. malachy
John J Stevens,2019,10.1001/jamanetworkopen.2019.1350,Association of Rare Coding Mutations With Alzheimer Disease and Other Dementias Among Adults of European Ancestry,association of rare coding mutations with alzheimer disease and other dementias among adults of european ancestry
John J Stevens,2011,10.1088/0004-637x/740/2/80,Critical Differences and Clues in Eta Car's 2009 Event,critical differences and clues in eta car's 2009 event
John J Stevens,2021,10.3390/pharmaceutics13111778,Targeted Delivery of Epidermal Growth Factor to the Human Placenta to Treat Fetal Growth Restriction,targeted delivery of epidermal growth factor to the human placenta to treat fetal growth restriction
John J Stevens,2020,10.1186/s43058-020-00075-9,"Barriers and facilitators in implementing a pilot, pragmatic, telemedicine-delivered healthy lifestyle program for obesity management in a rural, academic obesity clinic","barriers and facilitators in implementing a pilot, pragmatic, telemedicine-delivered healthy lifestyle program for obesity management in a rural, academic obesity clinic"
John J Stevens,2001,10.1088/0953-8984/13/50/201,Developments in the negative-U modelling of the cuprate HTSC systems,developments in the negative-u modelling of the cuprate htsc systems
John J Stevens,2019,10.1016/j.envpol.2019.01.059,What is the most ecologically-meaningful metric of nitrogen deposition?,what is the most ecologically-meaningful metric of nitrogen deposition?
John J Stevens,2022,10.3389/fmicb.2022.937968,Molecular characterization of extended spectrum cephalosporin resistant Escherichia coli isolated from livestock and in-contact humans in Southeast Nigeria,molecular characterization of extended spectrum cephalosporin resistant escherichia coli isolated from livestock and in-contact humans in southeast nigeria
John J Stevens,2011,10.1007/s10509-010-0590-9,"The Atomic Physics Underlying the Spectroscopic Analysis of Massive
  Stars and Supernovae","the atomic physics underlying the spectroscopic analysis of massive
  stars and supernovae"
John J Stevens,2009,10.1029/2008jd011006,An assessment of aerosol‐cloud interactions in marine stratus clouds based on surface remote sensing,an assessment of aerosol‐cloud interactions in marine stratus clouds based on surface remote sensing
John J Stevens,2009,10.1109/jproc.2009.2017564,The Murchison Widefield Array: Design Overview,the murchison widefield array: design overview
John J Stevens,2023,10.1016/j.wneu.2023.05.047,Cerebrospinal Fluid Diversion for Refractory Intracranial Hypertension in Traumatic Brain Injury:A Single Center Experience,cerebrospinal fluid diversion for refractory intracranial hypertension in traumatic brain injury:a single center experience
John J Stevens,2011,10.1186/1741-7015-9-104,Human papillomavirus prevalence among indigenous and non-indigenous Australian women prior to a national HPV vaccination program,human papillomavirus prevalence among indigenous and non-indigenous australian women prior to a national hpv vaccination program
John J Stevens,2008,10.1086/525258,Treatment of aspergillosis: Clinical practice guidelines of the infectious diseases society of America,treatment of aspergillosis: clinical practice guidelines of the infectious diseases society of america
John J Stevens,2017,10.1007/s40273-017-0488-2,Adalimumab for Treating Moderate-to-Severe Hidradenitis Suppurativa: An Evidence Review Group Perspective of a NICE Single Technology Appraisal,adalimumab for treating moderate-to-severe hidradenitis suppurativa: an evidence review group perspective of a nice single technology appraisal
John J Stevens,2007,10.1371/journal.pgen.0030192,Identification of Two Independent Risk Factors for Lupus within the MHC in United Kingdom Families,identification of two independent risk factors for lupus within the mhc in united kingdom families
John J Stevens,2009,10.17615/9qne-0c23,Community-wide assessment of GPCR structure modelling and ligand docking: GPCR Dock 2008,community-wide assessment of gpcr structure modelling and ligand docking: gpcr dock 2008
John J Stevens,2008,10.17615/37ak-hc52,Promoting Physical Activity in Middle School Girls: Trial of Activity for Adolescent Girls,promoting physical activity in middle school girls: trial of activity for adolescent girls
John J Stevens,2012,10.1029/2012jd017638,Bright polar mesospheric clouds formed by main engine exhaust from the space shuttle's final launch,bright polar mesospheric clouds formed by main engine exhaust from the space shuttle's final launch
John J Stevens,2000,10.1046/j.1365-8711.2000.03399.x,"Quantitative analysis of WC stars: Constraints on neon abundances from
  ISO/SWS spectroscopy","quantitative analysis of wc stars: constraints on neon abundances from
  iso/sws spectroscopy"
John J Stevens,2013,10.1371/journal.pone.0068895,An empirical approach towards the efficient and optimal production of influenza-neutralizing ovine polyclonal antibodies demonstrates that the novel adjuvant CoVaccine HT(TM) is functionally superior to Freund's adjuvant,an empirical approach towards the efficient and optimal production of influenza-neutralizing ovine polyclonal antibodies demonstrates that the novel adjuvant covaccine ht(tm) is functionally superior to freund's adjuvant
John J Stevens,2020,10.1007/s00134-019-05907-4,Updated nomenclature of delirium and acute encephalopathy:statement of ten Societies,updated nomenclature of delirium and acute encephalopathy:statement of ten societies
John J Stevens,1996,10.1103/physrevb.54.4936,Effective charge-spin models for quantum dots,effective charge-spin models for quantum dots
