title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location
Measuring the Flow-Down of Injury Risks Along the Subcontracting Chain in the U.S. Construction Industry,https://doi.org/10.2139/ssrn.4844585,"Construction workers experience high rates of injury relative to other occupations. Previous research based on case/interview studies at the level of a craft or establishment and the statistical analysis of injuries across regions finds that subcontracting raises injury rates. This study is the first to combine establishment-level information from the Census Bureau's Economic Census of Construction Industries with data on workplace injuries from the Bureau of Labor Statistics' Survey of Occupational Injuries and Illnesses. With these data, we assess how a contractor's position on the subcontracting chain and other establishment characteristics are associated with the number and likelihood of injuries on the job. Findings indicate that as work flows down subcontracting chains, that work is associated with higher rates of injury. Up-chain contractors can choose what scope of work they will keep on a project and what they will offload. This choice is the product of many considerations, one of which may be to disproportionately offload safety risks to lower-tier contractors.",2024,2024-01-01,0,"{'Kevin Conner', 'Mark J. Prus', 'Kevin Duncan', 'Jeff Waddoups', 'Frederick Purifoy', 'Peter Philips'}","University of Utah; University of Utah; University of Nevada, Las Vegas",Occupational Health and Safety Research; Risk and Safety Analysis; Traffic and Road Safety,,preprint,Frederick Purifoy,https://openalex.org/A5098912673,BLS - Survey of Occupational Injuries and Illnesses (SOII) Summary Records; Census of Construction Industries,Census of Construction Industries,Utah
The Affordable Care Act's insurance market regulations' effect on coverage,https://doi.org/10.1002/hec.3585,"Abstract Much of the debate surrounding reform of the Patient Protection and Affordable Care Act (ACA) revolves around its insurance market regulation. This paper studies the impact on health insurance coverage of those provisions. Using data from the American Community Survey, years 2008–2015, I focus on individuals, ages 26 to 64, who are ineligible for the subsidies or Medicaid expansions included in the ACA to isolate the effect of its market regulation. To account for time trends, I utilize a differences‐in‐differences approach with a control group of residents of Massachusetts who were already subject to a similarly regulated health insurance market. I find that the ACA's regulations caused an increase of 0.95 percentage points in health insurance coverage for my sample in 2014. This increase was concentrated among younger individuals, suggesting that the law's regulations ameliorated adverse selection in the individual health insurance market.",2017,2017-09-21,11,{'Gal Wettstein'},Harvard University,Healthcare Policy and Management; Healthcare Systems and Reforms; Global Health Care Issues,Health Economics,article,Gal Wettstein,https://openalex.org/A5009024090,American Community Survey; Compustat-SSEL Bridge; LEHD Individual Characteristics File (ICF) - 2014,American Community Survey,Boston
Are Older Workers Capable of Working Longer?,https://doi.org/10.2139/ssrn.3936027,"Disability-free life expectancy had been rising continuously in the United States until 2010, suggesting working longer as a solution for those financially unprepared for retirement. However, recent developments suggest improvements in working life expectancy have stalled, especially for minorities and those with less education. This paper uses data from the National Vital Statistics System, the American Community Survey, and the National Health Interview Survey to assess how recent trends in institutionalization, physical impediments to work, and mortality have affected working life expectancy for men and women age 50, by race and education.",2021,2021-01-01,2,"{'Gal Wettstein', 'Laura Quinby'}",Boston College; Boston College,"Retirement, Disability, and Employment; Employment and Welfare Studies; Labor market dynamics and wage inequality",SSRN Electronic Journal,article,Gal Wettstein,https://openalex.org/A5009024090,American Community Survey; Compustat-SSEL Bridge; LEHD Individual Characteristics File (ICF) - 2014,American Community Survey,Boston
Are older workers capable of working longer?,https://doi.org/10.1017/s1474747223000033,"Abstract Disability-free life expectancy had been rising continuously in the United States until 2010, suggesting working longer as a solution for those financially unprepared for retirement. However, recent developments suggest improvements in working life expectancy have stalled, especially for minorities and those with less education. This paper uses data from the National Vital Statistics System , the American Community Survey , and the National Health Interview Survey to assess how recent trends, up to 2018, in institutionalization, physical impediments to work, and mortality have affected working life expectancy for men and women age 50, by race and education.",2023,2023-02-13,1,"{'Gal Wettstein', 'Laura Quinby'}",Boston College; Boston College,"Retirement, Disability, and Employment; Global Health Care Issues; Employment and Welfare Studies",Journal of Pensions Economics and Finance,article,Gal Wettstein,https://openalex.org/A5009024090,American Community Survey; Compustat-SSEL Bridge; LEHD Individual Characteristics File (ICF) - 2014,American Community Survey,Boston
Does Social Security Serve as an Economic Stabilizer?,https://doi.org/10.2139/ssrn.3936020,"In times of economic distress, both individuals and localities can benefit from stable sources of income. While a large literature documents the benefits that individuals enjoy from guaranteed income such as Social Security, less attention has been given to the stabilizing force of Social Security at the community level. Intuitively, if many people are insulated from recessions through stable Social Security income, they will continue to demand local goods and services, propping up local employment and earnings. This paper uses the American Community Survey to estimate the extent to which Social Security benefits stabilize local economies, by examining how the relationship between a countyâ€™s economic outcomes and those of its surrounding counties vary with the share of county income from Social Security.",2021,2021-01-01,0,"{'Robert L. Siliciano', 'Laura Quinby', 'Gal Wettstein'}",Boston College; Boston College; Boston College,"Financial Literacy, Pension, Retirement Analysis",SSRN Electronic Journal,article,Gal Wettstein,https://openalex.org/A5009024090,American Community Survey; Compustat-SSEL Bridge; LEHD Individual Characteristics File (ICF) - 2014,American Community Survey,Boston
Modeling plant-level industrial energy demand with the Manufacturing Energy Consumption Survey (MECS) database and the Longitudinal Research Database (LRD),https://doi.org/10.2172/10168855,"This report discusses Phase 1 of a project to help the US Department of Energy determine the applicability of the Manufacturing Energy Consumption Survey (MECS) database and the Longitudinal Research Database (LRD) for industrial modeling and analysis. Research was conducted at the US Bureau of the Census; disclosure of the MECS/LRD data used as a basis for this report was subject to the Bureau`s confidentiality restriction. The project is designed to examine the plant-level energy behavior of energy-intensive industries. In Phase 1, six industries at the four-digit standard industrial classification (SIC) level were studied. The utility of analyzing four-digit SIC samples at the plant level is mixed, but the plant-level structure of the MECS/LRD makes analyzing samples disaggregated below the four-digit level feasible, particularly when the MECS/LRD data are combined with trade association or other external data. When external data are used, the validity of using value of shipments as a measure of output for analyzing energy use can also be examined. Phase 1 results indicate that technical efficiency and the distribution of energy intensities vary significantly at the plant level. They also show that the six industries exhibit monopsony-like behavior; that is, energy prices vary significantly at the plant level, with lower prices being correlated with a higher level of energy consumption. Finally, they show to what degree selected energy-intensive products are manufactured outside their primary industry.",1992,1992-08-01,6,"{'Gale Boyd', 'M.J. Neifer', 'Marc Howard Ross'}",,"Energy, Environment, and Transportation Policies; Energy, Environment, Economic Growth",,report,Gale A Boyd,https://openalex.org/A5058981904,Supplementary Public Data - Industry and Product Codes; Census of Mining; Manufacturing Energy Consumption Survey,Manufacturing Energy Consumption Survey,Triangle
Modal Choice in Product Shipments: Analysis of Nonpublic Census Microdata,,"This paper explores how micro data within the Census itself can be used to supplement the Commodity Flow Survey (CFS). By establishing research using the raw CFS and other economic data collected at Census we gain a more comprehensive understanding of the uses of CFS data. This paper presents preliminary results from a project that examines the raw, non-public shipments data from the CFS linked to the corresponding non-public establishment data from the Census of Manufacturing (CM). Through a cooperative research program with the Census Center for Economic Studies (CES), the raw data from the CFS and CM have been linked. The raw data for the CFS are detailed shipment specific records for those establishments in the CFS sample. Each data element represents an individual shipment from that establishment, categorized by Standard Classification of Transported Goods (SCTG), mode, destination, and other economic characteristics. For any establishment in the CFS sample, multiple shipment records are common. The multiple data records representing each establishments’ shipment data have been linked to the establishment level data from the CM and the Standard Statistical Establishment List (SSEL), also called the Business Register. The CM provides detailed data on the operations of the establishment for 1997; the SSEL provides detailed data on the location and firm ownership of the specific establishment. In particular the SSEL provides the establishment classification based on the North American Industrial Classification System (NAICS) and on the standard industrial classification (SIC) system. The data from the CFS has been linked to the CM and SSEL by using the appropriate permanent plant identifiers in the respective data bases.",2006,2006-01-01,1,"{'Gale Boyd', 'Anant Vyas', 'Marianne Mintz', 'Ki Young Park'}",,Global trade and economics,Transportation research circular,article,Gale A Boyd,https://openalex.org/A5058981904,NBER-CES Manufacturing Industry Database (Public Use Dataset); Commodity Flow Survey,Commodity Flow Survey,Triangle
"Same-Sex Couples and the Gay, Lesbian, Bisexual Population: New Estimates from the American Community Survey",,"The news that same-sex couples lived in nearly every county of the United States marked one of most reported on statistics from the release of Census 2000 data. Since then, policy debates focusing on marriage and partnership rights for same-sex couples have led academics and policy-makers alike to use these data in hopes of gaining a more complete and accurate understanding of this population (e.g., Gates and Ost 2004; Congressional Budget Office 2004; Badgett and Sears 2005). The release of new data from the American Community Survey (ACS) this month offers the first opportunity to update what we have learned and to assess possible changes in the geographic and demographic characteristics of same-sex couples.",2006,2006-10-01,108,{'Gary J. Gates'},,"Gender, Labor, and Family Dynamics",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey,UCLA
"SAME-SEX SPOUSES AND UNMARRIED PARTNERS IN THE AMERICAN COMMUNITY SURVEY, 2008",,The US Census Bureau release of data from the 2008 American Community Survey (ACS) included the first official estimates for the number of same-sex couples who called one partner a “husband” or “wife”. This report compares these same-sex spousal couples to those who designated a partner as an “unmarried partner”. Comparisons are also made with comparable different-sex couples.,2009,2009-09-23,35,{'Gary J. Gates'},,"Gender, Labor, and Family Dynamics; Family Dynamics and Relationships; Reproductive Health and Technologies",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
Demographics of Married and Unmarried Same-sex Couples: Analyses of the 2013 American Community Survey,,"The US Census Bureau’s 2013 American Community Survey marked the first time that a large national demographic survey explicitly identified both married and unmarried same-sex couples, allowing for separate analyses of these two groups. Married same-sex couples are five times more likely to be raising adopted or foster children than their different-sex counterparts, and have more economic resources than unmarried same-sex couples. These analyses outlined compare the demographic, economic, and geographic characteristics of these two groups, especially those raising children. Comparisons are also made with married and unmarried different-sex couples.",2015,2015-03-01,30,{'Gary J. Gates'},,Intergenerational Family Dynamics and Caregiving; Family Dynamics and Relationships; Reproductive Health and Technologies,Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
Geographic Trends Among Same-Sex Couples in the US Census and the American Community Survey,,This research brief analyzes geographic trends among same-sex couples using the 1990 and 2000 United States decennial census enumerations along with data from the 2002 through 2006 American Community Surveys.,2007,2007-11-01,22,{'Gary J. Gates'},,"Spatial and Panel Data Analysis; Gender, Labor, and Family Dynamics; Urban, Neighborhood, and Segregation Studies",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey,UCLA
Same-Sex couples in US Census Bureau Data: Who Gets Counted and Why,,"This research brief highlights key findings of a national survey of cohabiting same-sex couples designed to understand if and how they completed their Census 2010 forms and why they chose the options they did to identify their relationship. Findings suggest that as many as 1 in 7 same-sex couples will not be identified as such in Census 2010. Analyses also show that 30% of same-sex couples were either married (14%) or in a civil union or registered domestic partnership (15%), but more than 4 in 10 of these couples lived in states that do not recognize their legal status. Virtually all couples who described their relationship as unmarried partners on the Census form were either not married or were married but lived in a state that did not recognize their marriage. Of those who described themselves as spouses, 71% were married and 15% were in a civil union or registered domestic partnership.",2010,2010-09-01,40,{'Gary J. Gates'},,Reproductive Health and Technologies; Family Dynamics and Relationships; Demographic Trends and Gender Preferences,,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Same Sex and Different Sex Couples in the American Community Survey: 2005-2011,,"There are nearly 650,000 same-sex couples in the United States, of which approximately 114,100 are legally married and over 108,600 are in civil unions or registered domestic partnerships. This research brief summarizes the demographic characteristics of same-sex couples and compares them to different-sex couples. The analyses highlight trends and changes in the demographic diversity of same-sex couples and assess the degree to which similar changes are occurring among different-sex couples.",2013,2013-02-01,30,{'Gary J. Gates'},,Reproductive Health and Technologies,,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey,UCLA
The Measurement of Same-Sex Unmarried Partner Couples in the 2000 U.S. Census,,"Author(s): Black, Dan; Gates, Gary; Sanders, Seth; Taylor, Lowell | Abstract: Over the past decades there has been a growing demand for accurate demographic statistics on same-sex couples, for the purpose of informing such policy debates as marriage equality, domestic partner benefits, and adoption rights for same-sex couples. In response to this demand, statistical agencies such as the United States Census Bureau are making an effort to collect consistent and accurate data on same-sex partners. In this paper we discuss procedures used by the Census Bureau in collecting and reporting data on same-sex unmarried partners in the 2000 Decennial Census, highlighting a serious measurement error problem. Our work serves as a cautionary tale for statistical agencies collecting data on same-sex couples, and as a guide for researchers who use existing data on same-sex couples.",2007,2007-12-01,53,"{'Gary J. Gates', 'Seth Sanders', 'Lowell J. Taylor', 'Dan A. Black'}","Syracuse University; University of California, Los Angeles; University of Maryland, College Park; Carnegie Mellon University",Census and Population Estimation; Family Dynamics and Relationships; Demographic Trends and Gender Preferences,California Center for Population Research,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Family Formation and Raising Children Among Same-sex Couples,,"Proportionally fewer same-sex couples are raising children today than in 2006, and their families reflect greater racial/ethnic and socioeconomic diversity than often represented in the media and academic research. Notably, childrearing is substantially higher among racial/ethnic minorities. Also, among individuals in same-sex couples who did not finish high school, 43% are raising children, and 20% of children raised by same-sex couples live in poverty. The decrease in the proportion of couples raising children may be due to decreases in parenting by lesbian, gay and bisexual (LGB) individuals who had children at a relatively young age while in a relationship with a different-sex partner. Declining social stigma toward LGB people may mean that more are coming out earlier in life and are becoming less likely to have children with different-sex partners. Despite the proportional declines in parenting, analyses also show that adoptive parenting is clearly increasing. Among couples with children, the proportion of same-sex couples who have adopted children has nearly doubled from 10% to 19% between 2000 and 2009. Despite the decline, the number of same-sex couples raising children is still much higher today than ten years ago since many more couples are reporting themselves in Census Bureau data. In 2000, the Census reported about 63,000 couples raising children. Today, the figure is now more than 110,000.",2012,2012-01-01,93,{'Gary J. Gates'},,Reproductive Health and Technologies; Family Dynamics and Relationships; Child Welfare and Adoption,,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
"Lesbian, gay, and bisexual men and women in the US military: Updated estimates",,"This research brief uses new data from the American Community Survey and the General Social Survey to provide updated estimates of how many lesbians, gay men, and bisexuals (LGB) are serving in the US military. It also updates estimates of the cost of the US military’s “Don’t Ask/Don’t Tell” (DADT) policy.",2010,2010-01-01,49,{'Gary J. Gates'},,"LGBTQ Health, Identity, and Policy",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey,UCLA
Census Snapshot: United States,,"Author(s): Romero, Adam P.; Baumle, Amanda K; Badgett, M.V. Lee; Gates, Gary J | Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in the U.S. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in the U.S.In many ways, the almost 777,000 same-sex couples living in the U.S. are similar to married couples. According to Census 2000, they live in every county in every state, are racially and ethnically diverse, have partners who depend upon each other financially, and actively participate in the U.S. economy. Census data also show that 20% of same-sex couples in the U.S. are raising children. However, same-sex parents have fewer economic resources to provide for their families than do their married counterparts: they have lower household incomes, on average, and lower rates of home ownership.",2007,2007-12-01,21,"{'Amanda K. Baumle', 'Gary J. Gates', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics; Family Dynamics and Relationships; Demographic Trends and Gender Preferences",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Census Snapshot: California's Black LGB Population,,"This report provides a general overview of Black individuals in same-sex couples as well as the broader Black lesbian, gay, and bisexual (LGB) population in California. We use data from the 2005/2006 American Community Survey (ACS), conducted by the U.S. Census Bureau, to compare the characteristics of Black people in same-sex couples to their different-sex married counterparts. In all cases, when this report describes characteristics of couples, the data source is the ACS. While the ACS provides an excellent source of information about those in same-sex couples, it cannot provide information about the larger Black LGB population since it includes no explicit question about sexual orientation.",2008,2008-10-01,6,"{'Gary J. Gates', 'Christopher Ramos'}",,"Gender, Labor, and Family Dynamics; LGBTQ Health, Identity, and Policy",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
"Census Snapshot: California Lesbian, Gay, and Bisexual Population",,"This report provides a general demographic overview of same-sex couples as well as the broader lesbian, gay, and bisexual (LGB) population in California. We use the 2005/2006 American Community Survey (ACS), conducted by the U.S. Census Bureau, to compare characteristics of same-sex couples to their different-sex married counterparts. In all cases, when this report describes characteristics of couples, the data source is the ACS. While these data provide an excellent source of information about same-sex couples, it cannot provide information about the broader LGB population because it includes no explicit questions about sexual orientation.",2008,2008-10-01,5,"{'Gary J. Gates', 'Christopher Ramos'}",,"LGBTQ Health, Identity, and Policy; Gender, Labor, and Family Dynamics",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
New Census Bureau Data Shows Growth in Same-Sex Couples Outpacing Population,,"Williams Institute analyses of newly released data from the 2009 American Community Survey show that the estimated number of same-sex couples who identified themselves as either spouses or unmarried partners increased at three times the rate of population growth from 2008 to 2009. The estimated number of same-sex couples in the US was 564,743 in 2008 and grew to 581,300 in 2009, marking a nearly 3% increase. The US population only increased by approximately 1% between 2008 and 2009. Other findings from the newly released data show evidence of a disproportionate effect of the economic downturn on same-sex couples, particularly male couples, relative to their different-sex married counterparts.",2010,2010-10-01,1,{'Gary J. Gates'},,"Gender, Labor, and Family Dynamics",,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
Transgender Military Service in the United States,,"Author(s): Gates, Gary J.; Herman, Jody | Abstract: An estimated 150,000 transgender individuals have served in the U.S. armed forces, or are currently on active duty. In addition, an estimated 134,000 transgender individuals are veterans or are retired from Guard or Reserve service, 8,800 transgender adults are currently on active duty in the U.S. armed forces, and an estimated 6,700 transgender individuals are serving in the Guard or Reserve forces. Transgender individuals assigned female at birth are nearly three times more likely than all adult women, and those assigned male at birth are 1.6 times more likely than all adult men, to serve. The estimates are derived using data from the US Census Bureau’s American Community Survey and the National Transgender Discrimination Survey, which was conducted by the National Gay and Lesbian Task Force and the National Center for Transgender Equality.",2014,2014-05-01,42,"{'Gary J. Gates', 'Jody L. Herman'}",,"LGBTQ Health, Identity, and Policy; German History and Society; Sexuality, Behavior, and Technology",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
Census Snapshot: California's Latino/Latina LGB Population,,"This report provides a general overview of Latinos/as in same-sex couples as well as the broader Latino/a lesbian, gay, and bisexual (LGB) population in California. We use data from the 2005/2006 American Community Survey (ACS), conducted by the U.S. Census Bureau, to compare the characteristics of Latino/as in same-sex couples to their different-sex married counterparts. In all cases, when this report describes characteristics of couples, the data source is the ACS. While the ACS provides an excellent source of information about those in same-sex couples, it cannot provide information about the larger Latino/a LGB population since it includes no explicit question about sexual orientation.",2008,2008-10-01,3,"{'Gary J. Gates', 'Christopher Ramos'}",,"Urban, Neighborhood, and Segregation Studies",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
Census Snapshot: Oregon,,"Author(s): Romero, Adam P; Rosky, Clifford J; Badgett, M.V. Lee; Gates, Gary J | Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in Oregon. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in Oregon.In many ways, the almost 11,000 same-sex couples living in Oregon are similar to married couples. According to Census 2000, they live throughout the State, are racially and ethnically diverse, actively participate in Oregon's economy, and have partners that depend upon one another financially. Census data also show that 19% of same-sex couples in Oregon are raising children, and they have similar economic resources to provide for their families as married couples.",2008,2008-02-01,2,"{'Gary J. Gates', 'Clifford J Rosky', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Census Snapshot: Massachusetts,,"Author(s): Romero, Adam P; Rosky, Clifford J; Badgett, M.V. Lee; Gates, Gary J | Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in Massachusetts. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in Massachusetts.In many ways, the nearly 24,000 same-sex couples living in Massachusetts are similar to married couples. According to Census 2000, they live throughout the State, are racially and ethnically diverse, have partners who depend upon one another financially, and actively participate in Massachusetts’s economy. Census data also show that 18% of same-sex couples in Massachusetts are raising children, and they have similar economic resources to provide for their families as married couples.",2008,2008-06-01,2,"{'Gary J. Gates', 'Clifford J Rosky', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics; Family Dynamics and Relationships; Reproductive Health and Technologies",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Cohabitation and Marriage Among Same-Sex Couples in the 2019 ACS and CPS: A Research Note,https://doi.org/10.1215/00703370-10181474,"Abstract Since the 2015 U.S. Supreme Court ruling that marriages of same-sex couples are legal in all states in the union, federal surveys have adapted to the shifting legal climate and included new measures that more directly identify same-sex and different-sex cohabiting and married couples. In this research note comparing the largest and most recent federal surveys—the 2019 American Community Survey and Current Population Survey—we find consistent levels of cohabitation and marriage across surveys. While the vast majority (90%) of different-sex couples were married, we report a more even split in cohabitation and marriage among same-sex couples. Our evaluation of sociodemographic characteristics of married and cohabiting couples indicates that differences were less prominent among same-sex couples than among different-sex couples, suggesting weaker sociodemographic selection into marriage among the former. However, factors affecting same-sex and different-sex couples' decisions to live together and marry may differ because of legal and social climates that still present unique obstacles for same-sex couples. Researchers need to acknowledge these differences in assessments of the implications of marriage for health and well-being.",2022,2022-09-19,10,"{'Gary J. Gates', 'Wendy D. Manning', 'Krista K. Payne'}",Bowling Green State University; Bowling Green State University,Family Dynamics and Relationships; Reproductive Health and Technologies; Attachment and Relationship Dynamics,Demography,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey,UCLA
Census Snapshot: Colorado,,"Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in Colorado. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in Colorado. In many ways, the almost 16,000 same-sex couples living in Colorado are similar to married couples. According to Census 2000, they live throughout the state, are racially and ethnically diverse, have partners who depend upon one another financially, and actively participate in Colorado's economy. Census data also show that 14% of same-sex couples in Colorado are raising children. Same-sex couples in Coloardo have household incomes similar to those of married couples but lower rates of home ownership.",2008,2008-04-01,1,"{'Gary J. Gates', 'Clifford J Rosky', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Marriage Equality and the Creative Class,,"Data from the American Community Survey suggest that marriage equality has a small but positive impact on the number of individuals in same-sex couples who are attracted to a state. However, marriage equality appears to have a larger impact on the types of individuals in same-sex couples who are attracted to a state. This study shows that in Massachusetts marriage equality resulted in an increase of younger, female, and more highly educated and skilled individuals in same-sex couples moving to the state.",2009,2009-05-07,3,{'Gary J. Gates'},,"LGBTQ Health, Identity, and Policy",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey,UCLA
Census Snapshot: New York,,"Author(s): Romero, Adam P.; Rosky, Clifford J; Badgett, M.V. Lee; Gates, Gary J | Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in New York. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in New York.In many ways, the more than 50,000 same-sex couples living in New York are similar to married couples. According to Census 2000, they live throughout the state, are racially and ethnically diverse, have partners who depend upon one another financially, and actively participate in New York’s economy. Census data also show that 20% of same-sex couples in New York are raising children. However, same-sex couples with children have fewer economic resources to provide for their families than married parents: they have lower household incomes and lower rates of home ownership.",2008,2008-04-01,1,"{'Gary J. Gates', 'Clifford J Rosky', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics",,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Census Snapshot: Michigan,,"Author(s): Romero, Adam P; Baumle, Amanda; Badgett, M.V. Lee; Gates, Gary J | Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in Michigan. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in Michigan.In many ways, the more than 22,000 same-sex couples living in Michigan are similar to married couples. According to Census 2000, they live throughout the state, are racially and ethnically diverse, have partners that depend upon one another financially, and actively participate in Michigan’s economy. Census data also show that 18% of same-sex couples in Michigan are raising children. However, same-sex couples in Michigan, particularly those with children, have fewer economic resources to provide for their families than do their married counterparts. They have lower household incomes, on average, and lower rates of home ownership.",2007,2007-09-01,1,"{'Amanda K. Baumle', 'Gary J. Gates', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
Census Snapshot: Missouri,,"Author(s): Romero, Adam P; Rosky, Clifford J; Badgett, M.V. Lee; Gates, Gary J | Abstract: Using data from the U.S. Census Bureau, this report provides demographic and economic information about same-sex couples and same-sex couples raising children in Missouri. We compare same-sex “unmarried partners,” which the Census Bureau defines as an unmarried couple who “shares living quarters and has a close personal relationship,” to different-sex married couples in Missouri.In many ways, the almost 15,000 same-sex couples living in Missouri are similar to married couples. According to Census 2000, they live throughout the State, are racially and ethnically diverse, have partners who depend upon one another financially, and actively participate in Missouri’s economy. Census data also show that 20% of same-sex couples in Missouri are raising children. However, same-sex couples, especially those with children, have fewer economic resources to provide for their families than their married counterparts: they have lower household incomes and lower rates of homeownership.",2008,2008-01-01,1,"{'Gary J. Gates', 'Clifford J Rosky', 'Adam P Romero', 'M.V. Lee Badgett'}",,"Gender, Labor, and Family Dynamics",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,Census Bureau,UCLA
FAQ: Same-Sex Couples in the 2008 American Community Survey,,"The US Census Bureau has released new data regarding same-sex couples from the 2008 American Community Survey. Notably, this marks the first time the Census Bureau has released official estimates for the number of same-sex spouses in the US. An estimated 149,956 same-sex couples identified one partner as a husband or wife, and an estimated 414,787 additional same-sex couples identified as “unmarried partners”.",2009,2009-09-01,0,{'Gary J. Gates'},,"Reproductive Health and Technologies; Gender, Labor, and Family Dynamics; LGBTQ Health, Identity, and Policy",Williams Institute,article,Gary J Gates,https://openalex.org/A5084514910,American Community Survey; FSRDC; Census Bureau; UCLA RDC,American Community Survey; Census Bureau,UCLA
