,ProjectID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectStartYear,ProjectEndYear,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages,DOI,Authors,Abstract,DoiExtract,NormTitle,MatchType,Uniqueness,FuzzScores,FSRDC_related
103,W3126010795,,Gender differences in business performance: evidence from the Characteristics of Business Owners survey,,,,Robert W. Fairlie,Gender differences in business performance: evidence from the Characteristics of Business Owners survey,"{'volume': '33', 'issue': '4', 'first_page': '375', 'last_page': '395'}",article,,,2009.0,,33.0,4,375-395,https://doi.org/10.1007/s11187-009-9207-5,"Robert W. Fairlie, Alicia Robb","Using confidential microdata from the U.S. Census Bureau, we investigate the performance of female-owned businesses, making comparisons to male-owned businesses. Using regression estimates and a decomposition technique, we explore the role that human capital, especially through prior work experience, and financial capital play in contributing to why female-owned businesses have lower survival rates, profits, employment, and sales. We find that female-owned businesses are less successful than male-owned businesses because they have less startup capital, less business human capital acquired through prior work experience in a similar business, and less prior work experience in a family business. We also find some evidence that female business owners work fewer hours and may have different preferences for the goals of their businesses, which may have implications for business outcomes.",101007s11187-009-9207-5,genderdifferencesinbusinessperformance:evidencefromthecharacteristicsofbusinessownerssurvey,,True,74.0,True
104,W1555600854,,Derivation of Research Diagnostic Criteria for Insomnia: Report of an American Academy of Sleep Medicine Work Group,,,,Jack D. Edinger,Derivation of Research Diagnostic Criteria for Insomnia: Report of an American Academy of Sleep Medicine Work Group,"{'volume': '27', 'issue': '8', 'first_page': '1567', 'last_page': '1596'}",review,,,2004.0,,27.0,8,1567-1596,https://doi.org/10.1093/sleep/27.8.1567,"Jack D. Edinger, Michael H. Bonnet, Richard R. Bootzin, Karl Doghramji, Cynthia M. Dorsey, Colin A. Espie, Andrew O. Jamieson, W. Vaughn McCall, Charles M. Morin, Edward J. Stepanski","Insomnia is a highly prevalent, often debilitating, and economically burdensome form of sleep disturbance caused by various situational, medical, emotional, environmental and behavioral factors. Although several consensually-derived nosologies have described numerous insomnia phenotypes, research concerning these phenotypes has been greatly hampered by a lack of widely accepted operational research diagnostic criteria (RDC) for their definition. The lack of RDC has, in turn, led to inconsistent research findings for most phenotypes largely due to the variable definitions used for their ascertainment. Given this problem, the American Academy of Sleep Medicine (AASM) commissioned a Work Group (WG) to review the literature and identify those insomnia phenotypes that appear most valid and tenable. In addition, this WG was asked to derive standardized RDC for these phenotypes and recommend assessment procedures for their ascertainment. This report outlines the WG's findings, the insomnia RDC derived, and research assessment procedures the WG recommends for identifying study participants who meet these RDC.",101093sleep2781567,derivationofresearchdiagnosticcriteriaforinsomnia:reportofanamericanacademyofsleepmedicineworkgroup,,True,46.0,True
105,W2128600649,,Probabilistic linkage of large public health data files,,,,Matthew A. Jaro,Probabilistic linkage of large public health data files,"{'volume': '14', 'issue': '5-7', 'first_page': '491', 'last_page': '498'}",article,,,1995.0,,14.0,5-7,491-498,https://doi.org/10.1002/sim.4780140510,Matthew A. Jaro,"Abstract Probabilistic linkage technology makes it feasible and efficient to link large public health databases in a statistically justifiable manner. The problem addressed by the methodology is that of matching two files of individual data under conditions of uncertainty. Each field is subject to error which is measured by the probability that the field agrees given a record pair matches (called the m probability) and probabilities of chance agreement of its value states (called the u probability). Fellegi and Sunter pioneered record linkage theory. Advances in methodology include use of an EM algorithm for parameter estimation, optimization of matches by means of a linear sum assignment program, and more recently, a probability model that addresses both m and u probabilities for all value states of a field. This provides a means for obtaining greater precision from non‐uniformly distributed fields, without the theoretical complications arising from frequency‐based matching alone. The model includes an interative parameter estimation procedure that is more robust than pre‐match estimation techniques. The methodology was originally developed and tested by the author at the U.S. Census Bureau for census undercount estimation. The more recent advances and a new generalized software system were tested and validated by linking highway crashes to Emergency Medical Service (EMS) reports and to hospital admission records for the National Highway Traffic Safety Administration (NHTSA).",101002sim4780140510,probabilisticlinkageoflargepublichealthdatafiles,,True,48.0,True
106,W2162107892,,Overview of Race and Hispanic Origin: Census 2000 Brief.,,,,Elizabeth M. Grieco,Overview of Race and Hispanic Origin: Census 2000 Brief.,"{'volume': None, 'issue': None, 'first_page': None, 'last_page': None}",article,,,2001.0,,,,,,"Elizabeth M. Grieco, Rachel Cassidy","Every census must adapt to the decade in which it is administered. New technologies emerge and change the way the U.S. Census Bureau collects and processes data. More importantly, changing lifestyles and emerging sensitivities among the people of the United States necessitate modifications to the questions that are asked. One of the most important changes for Census 2000 was the revision of the questions on race and Hispanic origin to better reflect the country’s growing diversity.",,overviewofraceandhispanicorigin:census2000brief,,True,45.0,True
107,W1901031838,,Screening for depression during pregnancy with the edinburgh depression scale (EDDS),,,,Declan Murray,Screening for depression during pregnancy with the edinburgh depression scale (EDDS),"{'volume': '8', 'issue': '2', 'first_page': '99', 'last_page': '107'}",article,,,1990.0,,8.0,2,99-107,https://doi.org/10.1080/02646839008403615,"Declan Murray, John Cox",Abstract One hundred women attending a maternity hospital antenatal clinic who were between 28 and 34 weeks gestation completed the EPDS and were then interviewed using a standardized psychiatric interview. EPDS scores were compared with RDC diagnosis of major and minor depression and with total weighted score derived from the interview. The EPDS identified all women with RDC major depression but was less effective in detecting those with RDC minor depression.,10108002646839008403615,screeningfordepressionduringpregnancywiththeedinburghdepressionscale(edds),,True,46.0,True
108,W2468004496,,Anticipating the “Silver Tsunami”: Prevalence Trajectories and Co-Morbidity Burden among Older Cancer Survivors in the United States,,,,Shirley M. Bluethmann,Anticipating the “Silver Tsunami”: Prevalence Trajectories and Co-Morbidity Burden among Older Cancer Survivors in the United States,"{'volume': '25', 'issue': '7', 'first_page': '1029', 'last_page': '1036'}",editorial,,,2016.0,,25.0,7,1029-1036,https://doi.org/10.1158/1055-9965.epi-16-0133,"Shirley M. Bluethmann, Angela B. Mariotto, Julia H. Rowland","Abstract Background: Cancer survivors are a growing population, due in large part to the aging of the baby boomer generation and the related “silver tsunami” facing the U.S. health care system. Understanding the impact of a graying nation on cancer prevalence and comorbidity burden is critical in informing efforts to design and implement quality cancer care for this population. Methods: Incidence and survival data from 1975 to 2011 were obtained from the Surveillance, Epidemiology and End Results (SEER) Program to estimate current cancer prevalence. SEER-Medicare claims data were used to estimate comorbidity burden. Prevalence projections were made using U.S. Census Bureau data and the Prevalence Incidence Approach Model, assuming constant future incidence and survival trends but dynamic projections of the U.S. population. Results: In 2016, there were an estimated 15.5 million cancer survivors living in the United States, 62% of whom were 65 years or older. The prevalent population is projected to grow to 26.1 million by 2040, and include 73% of survivors who are 65 years and older. Comorbidity burden was highest in the oldest survivors (those ≥85 years) and worst among lung cancer survivors. Conclusions: Older adults, who often present with complex health needs, now constitute the majority of cancer survivors and will continue to dominate the survivor population over the next 24 years. Impact: The oldest adults (i.e., those &amp;gt;75 years) should be priority populations in a pressing cancer control and prevention research agenda that includes expanding criteria for clinical trials to recruit more elderly participants and developing relevant supportive care interventions. Cancer Epidemiol Biomarkers Prev; 25(7); 1029–36. ©2016 AACR. See interview with Shirley M. Bluethmann, PhD, recipient of the 2022 CEBP Frederick P. Li Impact Award: https://vimeo.com/720725164",1011581055-9965epi-16-0133,anticipatingthe“silvertsunami”:prevalencetrajectoriesandcomorbidityburdenamongoldercancersurvivorsintheunitedstates,,True,52.0,True
110,W86959386,,Educational Attainment in the United States: 2007.,,,,Sarah R. Crissey,Educational Attainment in the United States: 2007.,"{'volume': None, 'issue': None, 'first_page': None, 'last_page': None}",article,,,2009.0,,,,,,Sarah R. Crissey,"By Sarah R. Crissey This report provides a portrait of edudiploma or its equivalent, while over cational attainment in the United States 1 in 4 (27 percent) reported a bachbased on data collected in the 2007 elor’s degree or higher. This reflects American Community Survey (ACS) and more than a three-fold increase in high data collected in 2008 and earlier in the school attainment and more than a Annual Social and Economic Supplement five-fold increase in college attainment (ASEC) to the Current Population Survey since the Census Bureau first collected (CPS).1 Previous U.S. Census Bureau educational attainment data in 1940. reports on this topic were based on edu• A larger proportion of women than cational attainment data from the CPS. men had completed high school or The ACS has a larger sample and provides more education. A larger proportion of statistics for small levels of geography, men had received at least a bachelor’s which is why it is now used as a main degree. source of educational attainment data.",,educationalattainmentintheunitedstates:2007,,True,65.0,True
111,W4207035178,,Shades of Citizenship,,,,Melissa Nobles,Shades of Citizenship,"{'volume': None, 'issue': None, 'first_page': None, 'last_page': None}",book,,,2000.0,,,,,https://doi.org/10.1515/9780804780131,Melissa Nobles,"This book explores the politics of race, censuses, and citizenship, drawing on the complex history of questions about race in the U.S. and Brazilian censuses. It reconstructs the history of racial categorization in American and Brazilian censuses from each country’s first census in the eighteenth and nineteenth centuries up through the 2000 census. It sharply challenges certain presumptions that guide scholarly and popular studies, notably that census bureaus are (or are designed to be) innocent bystanders in the arena of politics, and that racial data are innocuous demographic data. Using previously overlooked historical sources, the book demonstrates that counting by race has always been a fundamentally political process, shaping in important ways the experiences and meanings of citizenship. This counting has also helped to create and to further ideas about race itself. The author argues that far from being mere producers of racial statistics, American and Brazilian censuses have been the ultimate insiders with respect to racial politics. For most of their histories, American and Brazilian censuses were tightly controlled by state officials, social scientists, and politicians. Over the past thirty years in the United States and the past twenty years in Brazil, however, certain groups within civil society have organized and lobbied to alter the methods of racial categorization. This book analyzes both the attempt of America’s multiracial movement to have a multiracial category added to the U.S. census and the attempt by Brazil’s black movement to include racial terminology in census forms. Because of these efforts, census bureau officials in the United States and Brazil today work within political and institutional constraints unknown to their predecessors. Categorization has become as much a “bottom-up” process as a “top-down” one.",1015159780804780131,shadesofcitizenship,,True,53.0,True
112,W2951071083,,"Cancer treatment and survivorship statistics, 2019",,,,Kimberly D. Miller,"Cancer treatment and survivorship statistics, 2019","{'volume': '69', 'issue': '5', 'first_page': '363', 'last_page': '385'}",article,,,2019.0,,69.0,5,363-385,https://doi.org/10.3322/caac.21565,"Kimberly D. Miller, Letícia Nogueira, Angela B. Mariotto, Julia H. Rowland, K. Robin Yabroff, Catherine M. Alfano, Ahmedin Jemal, Joan L. Kramer, Rebecca L. Siegel","The number of cancer survivors continues to increase in the United States because of the growth and aging of the population as well as advances in early detection and treatment. To assist the public health community in better serving these individuals, the American Cancer Society and the National Cancer Institute collaborate every 3 years to estimate cancer prevalence in the United States using incidence and survival data from the Surveillance, Epidemiology, and End Results cancer registries; vital statistics from the Centers for Disease Control and Prevention's National Center for Health Statistics; and population projections from the US Census Bureau. Current treatment patterns based on information in the National Cancer Data Base are presented for the most prevalent cancer types. Cancer-related and treatment-related short-term, long-term, and late health effects are also briefly described. More than 16.9 million Americans (8.1 million males and 8.8 million females) with a history of cancer were alive on January 1, 2019; this number is projected to reach more than 22.1 million by January 1, 2030 based on the growth and aging of the population alone. The 3 most prevalent cancers in 2019 are prostate (3,650,030), colon and rectum (776,120), and melanoma of the skin (684,470) among males, and breast (3,861,520), uterine corpus (807,860), and colon and rectum (768,650) among females. More than one-half (56%) of survivors were diagnosed within the past 10 years, and almost two-thirds (64%) are aged 65 years or older. People with a history of cancer have unique medical and psychosocial needs that require proactive assessment and management by follow-up care providers. Although there are growing numbers of tools that can assist patients, caregivers, and clinicians in navigating the various phases of cancer survivorship, further evidence-based resources are needed to optimize care.",103322caac21565,cancertreatmentandsurvivorshipstatistics2019,,True,49.0,True
113,W1981366067,,On the Precipice of a “Majority-Minority” America,,,,Maureen A. Craig,On the Precipice of a “Majority-Minority” America,"{'volume': '25', 'issue': '6', 'first_page': '1189', 'last_page': '1197'}",article,,,2014.0,,25.0,6,1189-1197,https://doi.org/10.1177/0956797614527113,"Maureen A. Craig, Jennifer A. Richeson","The U.S. Census Bureau projects that racial minority groups will make up a majority of the U.S. national population in 2042, effectively creating a so-called majority-minority nation. In four experiments, we explored how salience of such racial demographic shifts affects White Americans’ political-party leanings and expressed political ideology. Study 1 revealed that making California’s majority-minority shift salient led politically unaffiliated White Americans to lean more toward the Republican Party and express greater political conservatism. Studies 2, 3a, and 3b revealed that making the changing national racial demographics salient led White Americans (regardless of political affiliation) to endorse conservative policy positions more strongly. Moreover, the results implicate group-status threat as the mechanism underlying these effects. Taken together, this work suggests that the increasing diversity of the nation may engender a widening partisan divide.",1011770956797614527113,ontheprecipiceofa“majorityminority”america,,True,47.0,True
114,W2064762710,,"Summary Health Statistics for U.S. Adults: National Health Interview Survey, 2006",,,,John R. Pleis,"Summary Health Statistics for U.S. Adults: National Health Interview Survey, 2006","{'volume': None, 'issue': None, 'first_page': None, 'last_page': None}",article,,,2007.0,,,,,https://doi.org/10.1037/e403882008-001,"John R. Pleis, Margaret Lethbridge‐Çejku","This report presents health statistics from the 2006 National Health Interview Survey for the civilian noninstitutionalized adult population, classified by sex, age, race and ethnicity, education, family income, poverty status, health insurance coverage, marital status, and place and region of residence. Estimates are presented for selected chronic conditions and mental health characteristics, functional limitations, health status, health behaviors, health care access and utilization, and human immunodeficiency virus testing. Percentages and percent distributions are presented in both age-adjusted and unadjusted versions.NHIS is a household, multistage probability sample survey conducted annually by interviewers of the U.S. Census Bureau for the Centers for Disease Control and Prevention's National Center for Health Statistics. In 2006, data were collected for 24,275 adults for the Sample Adult questionnaire. The conditional response rate was 81.4%, and the final response rate was 70.8%. The health information for adults in this report was obtained from one randomly selected adult per family. In very rare instances where the sample adult was not able to respond for him or herself, a proxy was allowed.In 2006, 61% of adults 18 years of age or over reported excellent or very good health. Sixty-two percent of adults never participated in any type of vigorous leisure-time physical activity, and 16% of adults did not have a usual place of health care. Eleven percent of adults had been told by a doctor or health professional that they had heart disease, and 23% had been told on two or more visits that they had hypertension. Twenty-one percent of all adults were current smokers and 21% were former smokers. Based on estimates of body mass index, 35% of adults were overweight and 26% were obese.",101037e403882008-001,summaryhealthstatisticsforusadults:nationalhealthinterviewsurvey2006,,True,47.0,True
115,W2099096826,,The LEHD Infrastructure Files and The Creation of The Quarterly Workforce Indicators,,,,John M. Abowd,The LEHD Infrastructure Files and The Creation of The Quarterly Workforce Indicators,"{'volume': None, 'issue': None, 'first_page': '149', 'last_page': '230'}",book-chapter,,,2009.0,,,,149-230,https://doi.org/10.7208/chicago/9780226172576.003.0006,"John M. Abowd, Bryce Stephens, Lars Vilhuber, Fredrik Andersson, Kevin L. McKinney, Marc Roemer, Simon D. Woodcock","data sources at the Census Bureau, these statistics offer unprecedented detail on the local dynamics of labor markets.Despite the fine geographic and industry detail, the confidentiality of the underlying micro-data is maintained by the application of new, state-of-the-art protection methods.The underlying data infrastructure was designed by the Longitudinal Employer-Household Dynamics (LEHD) Program at the Census Bureau (Abowd, Haltiwanger, and Lane 2004).The Census Bureau collaborates with its state partners, the suppliers of critical administrative records from the state unemployment insurance programs, through the Local Employment Dynamics (LED) cooperative federal-state program.Although the QWI are the flagship statistical product published from the LEHD Infrastructure Files, the latter have found a much more widespread application.The infrastructure constitutes an encompassing and almost universal data source for individuals and firms of all forty-six currently participating states. 1 When complete, the LEHD Infrastructure Files will be the first nationally comprehensive statistical product developed from a universe that covers jobs-a statutory employment relation between an individual and employer-as distinct from ones that cover households (e.g., the Decennial Census of Population and Housing) or establishments (e.g., the Economic Censuses or the Quarterly Census of Employment and Wages [QCEW]).In this chapter, we describe the primary input data underlying the LEHD Infrastructure Files, the methods by which the Infrastructure Files are compiled, and how these files are integrated to create the Quarterly Workforce Indicators.We also provide details about the statistical models used to improve the basic administrative data, and describe enhancements and limitations imposed by both data and legal constraints.Many of the infrastructure and derivative micro-data files are now available within the Research Data Centers of the U.S. Census Bureau, and we indicate these files during the discussion.",107208chicago97802261725760030006,thelehdinfrastructurefilesandthecreationofthequarterlyworkforceindicators,,True,53.0,True
116,W1976496407,,Mapping Community Determinants of Heat Vulnerability,,,,Colleen E. Reid,Mapping Community Determinants of Heat Vulnerability,"{'volume': '117', 'issue': '11', 'first_page': '1730', 'last_page': '1736'}",article,,,2009.0,,117.0,11,1730-1736,https://doi.org/10.1289/ehp.0900683,"Colleen E. Reid, Marie S. O’Neill, Carina J. Gronlund, Shannon J. Brines, Daniel G. Brown, Ana V. Diez‐Roux, Joel Schwartz","BackgroundThe evidence that heat waves can result in both increased deaths and illness is substantial, and concern over this issue is rising because of climate change. Adverse health impacts from heat waves can be avoided, and epidemiologic studies have identified specific population and community characteristics that mark vulnerability to heat waves.ObjectivesWe situated vulnerability to heat in geographic space and identified potential areas for intervention and further research.MethodsWe mapped and analyzed 10 vulnerability factors for heat-related morbidity/mortality in the United States: six demographic characteristics and two household air conditioning variables from the U.S. Census Bureau, vegetation cover from satellite images, and diabetes prevalence from a national survey. We performed a factor analysis of these 10 variables and assigned values of increasing vulnerability for the four resulting factors to each of 39,794 census tracts. We added the four factor scores to obtain a cumulative heat vulnerability index value.ResultsFour factors explained > 75% of the total variance in the original 10 vulnerability variables: a) social/environmental vulnerability (combined education/poverty/race/green space), b) social isolation, c) air conditioning prevalence, and d) proportion elderly/diabetes. We found substantial spatial variability of heat vulnerability nationally, with generally higher vulnerability in the Northeast and Pacific Coast and the lowest in the Southeast. In urban areas, inner cities showed the highest vulnerability to heat.ConclusionsThese methods provide a template for making local and regional heat vulnerability maps. After validation using health outcome data, interventions can be targeted at the most vulnerable populations.",101289ehp0900683,mappingcommunitydeterminantsofheatvulnerability,,True,54.0,True
117,W2126430099,,Deaths: preliminary data for 2002.,,,,Kenneth D. Kochanek,Deaths: preliminary data for 2002.,"{'volume': '52', 'issue': '13', 'first_page': '1', 'last_page': '47'}",article,,,2004.0,,52.0,13,1-47,,"Kenneth D. Kochanek, Betty Smith","This report presents preliminary data on deaths for the year 2002 in the United States. U.S. data on deaths are shown by age, sex, race, and Hispanic origin. Death rates for 2002 are based on population estimates consistent with the April 1, 2000, census. Data on life expectancy, leading causes of death, and infant mortality are also presented.Data in this report are based on a large number of deaths comprising approximately 97 percent of the demographic file and 93 percent of the medical file for all deaths in the United States in 2002. The records are weighted to independent control counts of infant deaths and deaths 1 year of age and over received in State vital statistics offices for 2002. Unless otherwise indicated, comparisons are made with final data for 2001. For certain causes of death, preliminary data differ from final data because of the truncated nature of the preliminary file. These are, in particular, unintentional injuries, homicides, suicides, and respiratory diseases. Populations were produced for the Centers for Disease Control and Prevention's National Center for Health Statistics under a collaborative arrangement with the U.S. Census Bureau. The populations reflect the results of the 2000 census. This census allowed people to report more than one race for themselves and their household members and also separated the category for Asian or Pacific Islander persons into two groups (Asian and Native Hawaiian or Other Pacific Islander). These changes reflected the Office of Management and Budget's (OMB) 1997 revisions to the standards for the classification of Federal data on race and ethnicity. Because only one race is currently reported in death certificate data, the 2000 census populations were ""bridged"" to the single race categories specified in OMB's 1977 guidelines for race and ethnic statistics in Federal reporting, which are still in use in the collection of vital statistics data.The age-adjusted death rate in 2002 for the United States decreased from 854.5 deaths per 100,000 population in 2001 to 846.8 in 2002. Declines in age-adjusted death rates occurred for Diseases of heart, Malignant neoplasms, Cerebrovascular diseases, Accidents (unintentional injuries), Chronic liver disease and cirrhosis, and Assault (homicide). The decrease in homicide reflects the effect of the terrorist attacks of September 11, 2001, on the rates for that year. Age-adjusted death rates also decreased for alcohol-induced deaths between 2001 and 2002. Age-adjusted death rates increased between 2001 and 2002 for the following causes: Alzheimer's disease, Influenza and pneumonia, Essential (primary) hypertension and hypertensive renal disease, Septicemia, and Nephritis, nephrotic syndrome and nephrosis. Life expectancy at birth rose by 0.2 years to a record high of 77.4 years. The infant mortality rate increased between 2001 and 2002, the first numerical increase in the infant mortality rate since 1957-58. However, supplemental analyses of fetal death records indicate that the perinatal mortality rate remained stable between 2001 and 2002.",,deaths:preliminarydatafor2002,,True,44.0,True
119,W2969424089,,Intelligent Reflecting Surface Enhanced Wireless Network via Joint Active and Passive Beamforming,,,,Qingqing Wu,Intelligent Reflecting Surface Enhanced Wireless Network via Joint Active and Passive Beamforming,"{'volume': '18', 'issue': '11', 'first_page': '5394', 'last_page': '5409'}",article,,,2019.0,,18.0,11,5394-5409,https://doi.org/10.1109/twc.2019.2936025,"Qingqing Wu, Rui Zhang","Intelligent reflecting surface (IRS) is a revolutionary and transformative technology for achieving spectrum and energy efficient wireless communication cost-effectively in the future. Specifically, an IRS consists of a large number of low-cost passive elements each being able to reflect the incident signal independently with an adjustable phase shift so as to collaboratively achieve three-dimensional (3D) passive beamforming without the need of any transmit radio-frequency (RF) chains. In this paper, we study an IRS-aided single-cell wireless system where one IRS is deployed to assist in the communications between a multi-antenna access point (AP) and multiple single-antenna users. We formulate and solve new problems to minimize the total transmit power at the AP by jointly optimizing the transmit beamforming by active antenna array at the AP and reflect beamforming by passive phase shifters at the IRS, subject to users' individual signal-to-interference-plus-noise ratio (SINR) constraints. Moreover, we analyze the asymptotic performance of IRS's passive beamforming with infinitely large number of reflecting elements and compare it to that of the traditional active beamforming/relaying. Simulation results demonstrate that an IRS-aided MIMO system can achieve the same rate performance as a benchmark massive MIMO system without using IRS, but with significantly reduced active antennas/RF chains. We also draw useful insights into optimally deploying IRS in future wireless systems.",101109twc20192936025,intelligentreflectingsurfaceenhancedwirelessnetworkviajointactiveandpassivebeamforming,,True,46.0,True
120,W1952148407,,Current Population Survey,,,,Stephen E. Fienberg,Current Population Survey,"{'volume': None, 'issue': None, 'first_page': '1', 'last_page': '11'}",other,,,2016.0,,,,1-11,https://doi.org/10.1002/9781118445112.stat00032.pub2,"Stephen E. Fienberg, Judith M. Tanur","Abstract The current population survey (CPS) is the world's longest continuing large‐scale sample survey. Carried out by the U.S. Bureau of the Census for the Bureau of Labor Statistics, the CPS forms the basis of the monthly release of U.S. employment rates. The design of the CPS involves a complex combination of stratification, clustering, and random selection, and it follows a special rotating panel structure of households that allows for special month to month and year to year comparisons. The CPS is perhaps the most‐studied survey in the world and is widely emulated, but its monthly employment statistics are not without controversy.",1010029781118445112stat00032pub2,currentpopulationsurvey,,True,50.0,True
121,W2141889414,,"Secular Trends in Incidence of Atrial Fibrillation in Olmsted County, Minnesota, 1980 to 2000, and Implications on the Projections for Future Prevalence",,,,Yoko Miyasaka,"Secular Trends in Incidence of Atrial Fibrillation in Olmsted County, Minnesota, 1980 to 2000, and Implications on the Projections for Future Prevalence","{'volume': '114', 'issue': '2', 'first_page': '119', 'last_page': '125'}",article,,,2006.0,,114.0,2,119-125,https://doi.org/10.1161/circulationaha.105.595140,"Yoko Miyasaka, Marion E. Barnes, Bernard J. Gersh, S. Stephen, Kent R. Bailey, Walter P. Abhayaratna, James B. Seward, Teresa S.M. Tsang","Background— Limited data exist on trends in incidence of atrial fibrillation (AF). We assessed the community-based trends in AF incidence for 1980 to 2000 and provided prevalence projections to 2050. Methods and Results— The adult residents of Olmsted County, Minnesota, who had ECG-confirmed first AF in the period 1980 to 2000 (n=4618) were identified. Trends in age-adjusted incidence were determined and used to construct model-based prevalence estimates. The age- and sex-adjusted incidence of AF per 1000 person-years was 3.04 (95% CI, 2.78 to 3.31) in 1980 and 3.68 (95% CI, 3.42 to 3.95) in 2000. According to Poisson regression with adjustment for age and sex, incidence of AF increased significantly ( P =0.014), with a relative increase of 12.6% (95% CI, 2.1 to 23.1) over 21 years. The increase in age-adjusted AF incidence did not differ between men and women ( P =0.84). According to the US population projections by the US Census Bureau, the number of persons with AF is projected to be 12.1 million by 2050, assuming no further increase in age-adjusted incidence of AF, but 15.9 million if the increase in incidence continues. Conclusions— The age-adjusted incidence of AF increased significantly in Olmsted County during 1980 to 2000. Whether or not this rate of increase continues, the projected number of persons with AF for the United States will exceed 10 million by 2050, underscoring the urgent need for primary prevention strategies against AF development.",101161circulationaha105595140,seculartrendsinincidenceofatrialfibrillationinolmstedcountyminnesota1980to2000andimplicationsontheprojectionsforfutureprevalence,,True,46.0,True
122,W4255574744,,Privacy: Theory meets Practice on the Map,,,,Ashwin Machanavajjhala,Privacy: Theory meets Practice on the Map,"{'volume': None, 'issue': None, 'first_page': '277', 'last_page': '286'}",article,,,2008.0,,,,277-286,https://doi.org/10.1109/icde.2008.4497436,"Ashwin Machanavajjhala, Daniel Kifer, John M. Abowd, Johannes Gehrke, Lars Vilhuber","In this paper, we propose the first formal privacy analysis of a data anonymization process known as the synthetic data generation, a technique becoming popular in the statistics community. The target application for this work is a mapping program that shows the commuting patterns of the population of the United States. The source data for this application were collected by the U.S. Census Bureau, but due to privacy constraints, they cannot be used directly by the mapping program. Instead, we generate synthetic data that statistically mimic the original data while providing privacy guarantees. We use these synthetic data as a surrogate for the original data. We find that while some existing definitions of privacy are inapplicable to our target application, others are too conservative and render the synthetic data useless since they guard against privacy breaches that are very unlikely. Moreover, the data in our target application is sparse, and none of the existing solutions are tailored to anonymize sparse data. In this paper, we propose solutions to address the above issues.",101109icde20084497436,privacy:theorymeetspracticeonthemap,,True,48.0,True
123,W2884738118,,The U.S. Census Bureau Adopts Differential Privacy,,,,John M. Abowd,The U.S. Census Bureau Adopts Differential Privacy,"{'volume': None, 'issue': None, 'first_page': None, 'last_page': None}",article,,,2018.0,,,,,https://doi.org/10.1145/3219819.3226070,John M. Abowd,"The U.S. Census Bureau announced, via its Scientific Advisory Committee, that it would protect the publications of the 2018 End-to-End Census Test (E2E) using differential privacy. The E2E test is a dress rehearsal for the 2020 Census, the constitutionally mandated enumeration of the population used to reapportion the House of Representatives and redraw every legislative district in the country. Systems that perform successfully in the E2E test are then used in the production of the 2020 Census. Motivation: The Census Bureau conducted internal research that confirmed that the statistical disclosure limitation systems used for the 2000 and 2010 Censuses had serious vulnerabilities that were exposed by the Dinur and Nissim (2003) database reconstruction theorem. We designed a differentially private publication system that directly addressed these vulnerabilities while preserving the fitness for use of the core statistical products.",10114532198193226070,theuscensusbureauadoptsdifferentialprivacy,,True,48.0,True
124,W2064145055,,Annual Incidence of Alzheimer Disease in the United States Projected to the Years 2000 Through 2050,,,,Liesi E. Hebert,Annual Incidence of Alzheimer Disease in the United States Projected to the Years 2000 Through 2050,"{'volume': '15', 'issue': '4', 'first_page': '169', 'last_page': '173'}",article,,,2001.0,,15.0,4,169-173,https://doi.org/10.1097/00002093-200110000-00002,"Liesi E. Hebert, Laurel Beckett, Paul A. Scherr, Denis A. Evans","Alzheimer disease will affect increasing numbers of people as baby boomers (persons born between 1946 and 1964) age. This work reports projections of the incidence of Alzheimer disease(AD) that will occur among older Americans in the future. Education adjusted age-specific incidence rates of clinically diagnosed probable AD were obtained from stratified random samples of residents 65 years of age and older in a geographically defined community. These rates were applied to U.S. Census Bureau projections of the total U.S. population by age and sex to estimate the number of people newly affected each year. The annual number of incident cases is expected to more than double by the midpoint of the twenty-first century: from 377,000 (95% confidence interval = 159,000–595,000) in 1995 to 959,000 (95% confidence interval = 140,000–1,778,000) in 2050. The proportion of new onset casess who are age 85 or older will increase from 40% in 1995 to 62% in 2050 when the youngest of the baby boomers will attain that age. Without progress in preventing or delaying onset of Alzheimer disease, both the number of people with Alzheimer disease and the proportion of the total population affected will increase substantially.",10109700002093-200110000-00002,annualincidenceofalzheimerdiseaseintheunitedstatesprojectedtotheyears2000through2050,,True,49.0,True
