"Title","Abstract","DOI","No. Researchers","Researchers","Year","RDC","Dataset Mentions","Keywords"
"COMPLETING THE CENSUS OF Lyα EMITTERS AT THE REIONIZATION EPOCH $^,$","We carried out extended spectroscopic confirmations of Ly-alpha emitters (LAEs) at z=6.5 and 5.7 in the Subaru Deep Field. Now, the total number of spectroscopically confirmed LAEs is 45 and 54 at z=6.5 and 5.7, respectively, and at least 81% (70%) of our photometric candidates at z=6.5 (5.7) have been spectroscopically identified as real LAEs. We made careful measurements of the Ly-alpha luminosity, both photometrically and spectroscopically, to accurately determine the Ly-alpha and rest-UV luminosity functions (LFs). The substantially improved evaluation of the Ly-alpha LF at z=6.5 shows an apparent deficit from z=5.7 at least at the bright end, and a possible decline even at the faint end, though small uncertainties remain. The rest-UV LFs at z=6.5 and 5.7 are in good agreement, at least at the bright end, in clear contrast to the differences seen in the Ly-alpha LF. These results imply an increase in the neutral fraction of the intergalactic medium from z=5.7 to 6.5. The rest-frame equivalent width (EW_0) distribution at z=6.5 seems to be systematically smaller than z=5.7, and it shows an extended tail toward larger EW_0. The bright end of the rest-UV LF can be reproduced from the observed Ly-alpha LF and a reasonable EW_0-UV luminosity relation. Integrating this rest-UV LF provides the first measurement of the contribution of LAEs to the photon budget required for reionization. The derived UV LF suggests that the fractional contribution of LAEs to the photon budget among Lyman break galaxies significantly increases towards faint magnitudes. Low-luminosity LAEs could dominate the ionizing photon budget, though this inference depends strongly on the uncertain faint-end slope of the Ly-alpha LF.","10.1088/0004-637x/734/2/119","19.0","Nobunari Kashikawa; Kazuhiro Shimasaku; Yuichi Matsuda; Eiichi Egami; Linhua Jiang; Tohru Nagao; Masami Ouchi; Matthew A. Malkan; Takashi Hattori; Kazuaki Ota; Yoshiaki Taniguchi; Sadanori Okamura; Chun Ly; Masanori Iye; Hisanori Furusawa; Yasuhiro Shioya; Takatoshi Shibuya; Yoshifumi Ishizaki; Jun Toshikawa","2011.0","","","the; census; of; ly; emitters; at; reionization; epoch"
"First global census of the Adélie Penguin","We report on the first global census of the Adélie Penguin (Pygoscelis adeliae), achieved using a combination of ground counts and satellite imagery, and find a breeding population 53% larger (3.79 million breeding pairs) than the last estimate in 1993. We provide the first abundance estimates for 41 previously unsurveyed colonies, which collectively contain 420,000 breeding pairs, and report on 17 previously unknown colonies, 11 of which may be recent colonizations. These recent colonizations represent ∼5% of the increase in known breeding population and provide insight into the ability of these highly philopatric seabirds to colonize new breeding territories. Additionally, we report on 13 colonies not found in the survey, including 8 that we conclude have gone extinct. We find that Adélie Penguin declines on the Antarctic Peninsula are more than offset by increases in East Antarctica. Our global population assessment provides a robust baseline for understanding future changes in abundance and distribution. These results are a critically needed contribution to ongoing negotiations regarding the design and implementation of Marine Protected Areas for the Southern Ocean.","10.1642/auk-14-31.1","2.0","Heather J. Lynch; Michelle A. LaRue","2014.0","","","census; ad; lie; penguin"
"A census of eddy activities in the South China Sea during 1993–2007","Numerous mesoscale eddies occur each year in the South China Sea (SCS), but their statistical characteristics are still not well documented. A Pacific basin‐wide three‐dimensional physical‐biogeochemical model has been developed and the result in the SCS subdomain is used to quantify the eddy activities during the period of 1993–2007. The modeled results are compared with a merged and gridded satellite product of sea level anomaly by using the same eddy identification and tracking method. On average, there are about 32.9 ± 2.4 eddies predicted by the model and 32.8 ± 3.4 eddies observed by satellite each year, and about 52% of them are cyclonic eddies. The radius of these eddies ranges from about 46.5 to 223.5 km, with a mean value of 87.4 km. More than 70% of the eddies have a radius smaller than 100 km. The mean area covered by these eddies each year is around 160,170 km 2 , equivalent to 9.8% of the SCS area with water depths greater than 1000 m. Linear relationships are found between eddy lifetime and eddy magnitude and between eddy vertical extent and eddy magnitude, showing that strong eddies usually last longer and penetrate deeper than weak ones. Interannual variations in eddy numbers and the total eddy‐occupied area indicate that eddy activities in the SCS do not directly correspond to the El Niño–Southern Oscillation events. The wind stress curls are thought to be an important but not the only mechanism of eddy genesis in the SCS.","10.1029/2009jc005657","5.0","Peng Xiu; Fei Chai; Lei Shi; Huijie Xue; Yi Chao","2010.0","","","census; activities; south; china; sea"
"IRS–II: A Framework and Infrastructure for Semantic Web Services","","10.1007/978-3-540-39718-2_20","4.0","Enrico Motta; John Domingue; Liliana Cabral; Mauro Gáspari","2003.0","","","irs; ii; a; infrastructure; semantic; web; services"
"Cytokine responses of human lung cells (BEAS-2B) treated with micron-sized and nanoparticles of metal oxides compared to soil dusts","The induction of cytokines by airway cells in vitro has been widely used to assess the effects of ambient and occupational particles. This study measured cytotoxicity and the release of the proinflammatory cytokines IL-6 and IL-8 by human bronchial epithelial cells treated with manufactured nano- and micron-sized particles of Al2O3, CeO2, Fe2O3, NiO, SiO2, and TiO2, with soil-derived particles from fugitive dust sources, and with the positive controls LPS, TNF-α, and VOSO4. The nano-sized particles were not consistently more potent than an equal mass of micron-sized particles of the same nominal composition for the induction of IL-6 and IL-8 secretion in the in vitro models used in this study. The manufactured pure oxides were much less potent than natural PM2.5 particles derived from soil dust, and the cells were highly responsive to the positive controls. The nano-sized particles in the media caused artifacts in the measurement of IL-6 by ELISA due to adsorption of the cytokine on the high-surface-area particles. The potency for inducing IL-6 secretion by BEAS-2B cells did not correlate with the generation of reactive oxygen species in cell-free media. Direct comparisons of manufactured metal oxide nanoparticles and previously studied types of particles and surrogate proinflammatory agonists showed that the metal oxide particles have low potency to induce IL-6 secretion in BEAS-2B cells. Particle artifacts from non-biological effects need to be considered in experiments of this type, and the limitations inherent in cell culture studies must be considered when interpreting in vitro results. This study suggests that manufactured metal oxide nanoparticles are not highly toxic to lung cells compared to environmental particles.","10.1186/1743-8977-4-2","5.0","John M. Veranth; Erin G. Kaser; Martha M. Veranth; Michael Koch; Garold S. Yost","2007.0","","","cytokine; responses; lung; cells; beas; b; micron; nanoparticles; metal; oxides; dusts"
"Dry-gel conversion technique for synthesis of zeolite BEA","A new method is developed to crystallize zeolites; for the first time, a zeolite with BEA structure is synthesized by a dry-gel conversion technique.","10.1039/cc9960001441","2.0","P.R. Hari Prasad Rao; Masahiko Matsukata","1996.0","","","dry; gel; conversion; technique; synthesis; zeolite; bea"
"Ecological Census Techniques","","10.1111/j.1442-9993.2007.01808.x","1.0","Sandra Jones","2008.0","","","census; techniques"
"Spatially disaggregated population estimates in the absence of national population and housing census data","Population numbers at local levels are fundamental data for many applications, including the delivery and planning of services, election preparation, and response to disasters. In resource-poor settings, recent and reliable demographic data at subnational scales can often be lacking. National population and housing census data can be outdated, inaccurate, or missing key groups or areas, while registry data are generally lacking or incomplete. Moreover, at local scales accurate boundary data are often limited, and high rates of migration and urban growth make existing data quickly outdated. Here we review past and ongoing work aimed at producing spatially disaggregated local-scale population estimates, and discuss how new technologies are now enabling robust and cost-effective solutions. Recent advances in the availability of detailed satellite imagery, geopositioning tools for field surveys, statistical methods, and computational power are enabling the development and application of approaches that can estimate population distributions at fine spatial scales across entire countries in the absence of census data. We outline the potential of such approaches as well as their limitations, emphasizing the political and operational hurdles for acceptance and sustainable implementation of new approaches, and the continued importance of traditional sources of national statistical data.","10.1073/pnas.1715305115","10.0","Nicola Wardrop; Warren C. Jochem; Tomas J. Bird; Heather Chamberlain; D. Clarke; David Kerr; Linus Bengtsson; Sabrina Juran; Vincent Seaman; Andrew J. Tatem","2018.0","","","population; estimates; absence; housing; census"
"Fatal Outcomes from Liposuction: Census Survey of Cosmetic Surgeons","Troubling reports of adverse outcomes after liposuction prompted a census survey of aesthetic plastic surgeons. All 1200 actively practicing North American boardcertified ASAPS members were polled by facsimile, then mail, regarding deaths after liposuction. Patient initials together with case summaries precluded data replication yet assured patient anonymity and preserved surgeon privacy. Incomplete returns or ambiguous findings were authenticated, where feasible, by direct follow-up. Total number of lipoplasties performed by plastic surgeons was interpolated from the ASPRS procedure database for the survey time frame of 1994 to mid-1998. Lacking reliable annual case volume estimates, deaths from lipoplasties performed by non-ABPS surgeons were excluded from the actual mortality rate computation but were included in cause-of-death ranking statistics. Responding aesthetic plastic surgeons (917 of 1200) reported 95 uniquely authenticated fatalities in 496,245 lipoplasties. In this census survey, the mortality rate computed to 1 in 5224, or 19.1 per 100,000. A virtually identical 20.3 per 100,000 mortality rate was obtained in a 1997 random survey commissioned by the parent society. Pulmonary thromboembolism remains as the major killer (23.4 ± 2.6 percent); lacking consistent medical examiners' toxicology data, the putative role of high-dose lidocaine cardiotoxicity could not be ascertained. Where so stated, many deaths occurred during the first night after discharge home; prudence suggests vigilant observation for residual ""hangover"" from sedative/anesthetic drugs after lengthy procedures. Taken together, these two independent surveys peg the late 1990s mortality rate from liposuction at about 20 per 100,000, or 1 in every 5000 procedures. Set beside the 16.4 per 100,000 fatality rates of U.S. motor vehicle accidents, liposuction is not an altogether benign procedure. We do not have comparable mortality data for lipoplasties performed by non-ABPS-certified physicians. (Plast. Reconstr. Surg. 105: 436, 2000.)","10.1097/00006534-200001000-00072","2.0","Frederick M. Grazer; Rudolph H. de Jong","2000.0","","","outcomes; liposuction; census; survey; cosmetic; surgeons"
"The Political Economy of the IRS","This paper tests a multiple principal–agent model of the Internal Revenue Service. Using data for 33 IRS districts over six tax years, 1992–1997, we report evidence that the fraction of individual income tax returns audited is significantly lower in districts that are important to the president electorally and that have representation on key congressional committees. These findings suggest that the IRS is not a rogue government agency, but rather is an effective bureaucratic agent of its political sponsors. “Reforming” the IRS by subjecting it to an independent oversight board appointed by the president would therefore seem to be redundant.","10.1111/1468-0343.00090","3.0","Marilyn B. Young; Michael Reksulak; William F. Shughart","2001.0","","","economy; irs"
"Census of Cnidaria (Medusozoa) and Ctenophora from South American marine waters","We have compiled available records in the literature for medusozoan cnidarians and ctenophores of South America. New records of species are also included. Each entry (i.e., identified species or still as yet not determined species referred to as ""sp."" in the literature) includes a synonymy list for South America, taxonomical remarks, notes on habit, and information on geographical occurrence. We have listed 800 unique determined species, in 958 morphotype entries: 5 cubozoans, 905 hydrozoans, 25 scyphozoans, 3 staurozoans, and 20 ctenophores. Concerning nomenclatural and taxonomical decisions, two authors of this census (Miranda, T.P. & Marques, A.C.) propose Podocoryna quitus as a nomen novum for the junior homonym Hydractinia reticulata (Fraser, 1938a); Euphysa monotentaculata Zamponi, 1983b as a new junior synonym of Euphysa aurata Forbes, 1848; and Plumularia spiralis Milstein, 1976 as a new junior synonym of Plumularia setacea (Linnaeus, 1758). Finally, we also reassign Plumularia oligopyxis Kirchenpauer, 1876 as Kirchenpaueria oligopyxis (Kirchenpauer, 1876) and Sertularella margaritacea Allman, 1885 as Symplectoscyphus margaritaceus (Allman, 1885).","10.11646/zootaxa.4194.1.1","25.0","Otto Müller Patrão de Oliveira; Thaís Pires Miranda; Enilma M. Araujo; Patricia Ayón; Cristina Cedeño-Posso; Amancay A. Cepeda-Mercado; Pablo Antonio Abrigo Còrdova; Amanda Ferreira Cunha; Gabriel Genzano; Maria Angélica Haddad; Hermes Mianzán; Álvaro Esteves Migotto; Lucília S. Miranda; André C. Morandini; Renato Mitsuo Nagata; Karine B. Nascimento; Miodeli Nogueira Júnior; Sergio Palma; Javier Quiñónes; Carolina S. Rodríguez; Fabrizio Scarabino; Agustín Schiariti; Sérgio N. Stampar; Valquiria Baddini Tronolone; Antônio Carlos Marques","2016.0","","","census; cnidaria; medusozoa; ctenophora; south; marine; waters"
"Censusing chimpanzees in the Budongo Forest, Uganda","","10.1007/bf02696160","2.0","Andrew J. Plumptre; Vernon Reynolds","1996.0","","","chimpanzees; budongo; forest; uganda"
"When UAV Meets IRS: Expanding Air-Ground Networks via Passive Reflection","Thanks to their flexibility and mobility, unmanned aerial vehicles (UAVs) have been widely applied in wireless networks. However, UAV communications may suffer from blockage and eavesdropping in practical scenarios due to the complex environment. Taking the recent advances in intelligent reflecting surface (IRS) to reconfigure the propagation environments, in this article, we employ IRS to enhance the performance of UAV-aided air-ground networks. First, we overview the combination of UAV and IRS, by introducing the diverse applications of IRS and the appealing advantages of UAV, and highlighting the benefits of combining them. Then, we investigate two case studies where the UAV trajectory, the transmit beamforming and the IRS passive beamforming are jointly optimized. In the first case study, by equipping the IRS on a UAV, the average achievable rate of the relaying network is maximized. In the second one, the IRS is deployed to assist the UAV-ground communication while combating the adversarial eavesdropper. Simulation results are provided to demonstrate the performance enhancement resulting from combining UAV and IRS in air-ground networks. Finally, we shed light on some challenging issues to be resolved for practical implementations in this direction.","10.1109/mwc.010.2000528","6.0","Xiaowei Pang; Min Sheng; Nan Zhao; Jie Tang; Dusit Niyato; Kai‐Kit Wong","2021.0","","","uav; meets; irs; expanding; air; ground; networks; passive; reflection"
"Census of State and Local Law Enforcement Agencies, 1992","","10.1037/e544982011-001","1.0","Brian Reaves","1993.0","","","census; state; law; enforcement; agencies"
"Florida Keys Reef Visual Census 2010","In 1998, the Florida Fish and Wildlife Conservation Commission's (FWC) Fisheries Independent Monitoring (FIM) program began a long-term monitoring effort of key reef fish populations in the Florida Keys National Marine Sanctuary. This effort was aimed at evaluating the relative abundance, size structure, and habitat utilization of specific reef fish species that are targeted by commercial and recreational fisheries.","10.15468/6chrsz","2.0","Jerald S. Ault; Jim Bohnsack","2023.0","Florida","","florida; keys; reef; visual; census"
"Ecological Census Techniques: A Handbook.","","10.2307/2960638","2.0","F. B. Goldsmith; William J. Sutherland","1997.0","","","census; techniques; a; handbook"
"IRS-Assisted Secure UAV Transmission via Joint Trajectory and Beamforming Design","Despite the wide utilization of unmanned aerial vehicles (UAVs), UAV communications are susceptible to eavesdropping due to air-ground line-of-sight channels. Intelligent reflecting surface (IRS) is capable of reconfiguring the propagation environment, and thus is an attractive solution for integrating with UAV to facilitate the security in wireless networks. In this paper, we investigate the secure transmission design for an IRS-assisted UAV network in the presence of an eavesdropper. With the aim at maximizing the average secrecy rate, the trajectory of UAV, the transmit beamforming, and the phase shift of IRS are jointly optimized. To address this sophisticated problem, we decompose it into three sub-problems and resort to an iterative algorithm to solve them alternately. First, we derive the closed-form solution to the active beamforming. Then, with the optimal transmit beamforming, the passive beamforming optimization problem of fractional programming is transformed into corresponding parametric sub-problems. Moreover, the successive convex approximation is applied to deal with the non-convex UAV trajectory optimization problem by reformulating a convex problem which serves as a lower bound for the original one. Simulation results validate the effectiveness of the proposed scheme and the performance improvement achieved by the joint trajectory and beamforming design.","10.1109/tcomm.2021.3136563","6.0","Xiaowei Pang; Nan Zhao; Jie Tang; Celimuge Wu; Dusit Niyato; Kai‐Kit Wong","2021.0","USC","","irs; assisted; secure; uav; transmission; joint; trajectory; beamforming"
"Dry Tortugas Reef Visual Census 2012","In 1998, the Florida Fish and Wildlife Conservation Commission's (FWC) Fisheries Independent Monitoring (FIM) program began a long-term monitoring effort of key reef fish populations in the Florida Keys National Marine Sanctuary. This effort was aimed at evaluating the relative abundance, size structure, and habitat utilization of specific reef fish species that are targeted by commercial and recreational fisheries.","10.15468/adis7b","2.0","Jerald S. Ault; Jim Bohnsack","2023.0","Florida","","dry; tortugas; reef; visual; census"
"A global census of nitrogenase diversity","Summary The global diversity of nitrogen‐fixing microorganisms was assessed through construction and analysis of an aligned database of 16 989 nifH sequences. We conclude that the diversity of diazotrophs is still poorly described and that many organisms remain to be discovered. Our analyses indicate that diversity is not distributed evenly across phylogenetic groups or across environments and that some of the most diverse assemblages and environments remain the most poorly characterized. The majority of OTUs were rare, falling in the long tail of the frequency distribution. The most dominant OTUs fell into either the Cyanobacteria or the α , β , and γ Proteobacteria , and five of these dominant OTUs do not have any representatives cultivated in isolation. Soils contained the greatest diversity of nifH sequences of all of the environments surveyed. Cluster III, which is dominated by nifH sequences from obligate anaerobes, was found to contain the greatest diversity of all nifH lineages and is also the group for which diversity is the least sampled. Our findings provide context for ongoing efforts to explore diazotroph diversity, indicating specific groups and environments that remain poorly characterized.","10.1111/j.1462-2920.2011.02488.x","2.0","John Christian Gaby; Daniel H. Buckley","2011.0","","","census; diversity"
"Fatal Outcomes from Liposuction: Census Survey of Cosmetic Surgeons","Troubling reports of adverse outcomes after liposuction prompted a census survey of aesthetic plastic surgeons. All 1200 actively practicing North American boardcertified ASAPS members were polled by facsimile, then mail, regarding deaths after liposuction. Patient initials together with case summaries precluded data replication yet assured patient anonymity and preserved surgeon privacy. Incomplete returns or ambiguous findings were authenticated, where feasible, by direct follow-up. Total number of lipoplasties performed by plastic surgeons was interpolated from the ASPRS procedure database for the survey time frame of 1994 to mid-1998. Lacking reliable annual case volume estimates, deaths from lipoplasties performed by non-ABPS surgeons were excluded from the actual mortality rate computation but were included in cause-of-death ranking statistics. Responding aesthetic plastic surgeons (917 of 1200) reported 95 uniquely authenticated fatalities in 496,245 lipoplasties. In this census survey, the mortality rate computed to 1 in 5224, or 19.1 per 100,000. A virtually identical 20.3 per 100,000 mortality rate was obtained in a 1997 random survey commissioned by the parent society. Pulmonary thromboembolism remains as the major killer (23.4 ± 2.6 percent); lacking consistent medical examiners' toxicology data, the putative role of high-dose lidocaine cardiotoxicity could not be ascertained. Where so stated, many deaths occurred during the first night after discharge home; prudence suggests vigilant observation for residual ""hangover"" from sedative/anesthetic drugs after lengthy procedures. Taken together, these two independent surveys peg the late 1990s mortality rate from liposuction at about 20 per 100,000, or 1 in every 5000 procedures. Set beside the 16.4 per 100,000 fatality rates of U.S. motor vehicle accidents, liposuction is not an altogether benign procedure. We do not have comparable mortality data for lipoplasties performed by non-ABPS-certified physicians. (Plast. Reconstr. Surg. 105: 436, 2000.)","10.1097/00006534-200001000-00072","2.0","Frederick M. Grazer; Rudolph H. de Jong","2000.0","","","outcomes; liposuction; census; survey; cosmetic; surgeons"
"Spectral and Energy Efficiency of IRS-Assisted MISO Communication With Hardware Impairments","In this letter, we analyze the spectral and energy efficiency of an intelligent reflecting surface (IRS)-assisted multiple-input single-output (MISO) downlink system with hardware impairments. An extended error vector magnitude (EEVM) model is utilized to characterize the impact of radio-frequency (RF) impairments at the access point (AP) and phase noise is considered at the IRS. We show that the spectral efficiency is limited due to the hardware impairments even when the numbers of AP antennas and IRS elements grow infinitely large, which is in contrast with the conventional case with ideal hardware. Moreover, the performance degradation at high SNR is shown to be mainly affected by the AP hardware impairments rather than by the phase noise at the IRS. We further obtain in closed form the optimal transmit power for energy efficiency maximization. Simulation results are provided to verify the obtained results.","10.1109/lwc.2020.2990431","5.0","Shaoqing Zhou; Wei Xu; Kezhi Wang; Marco Di Renzo; Mohamed‐Slim Alouini","2020.0","","","spectral; energy; efficiency; irs; assisted; miso; communication; hardware; impairments"
"Community Composition and Collective Action: Analyzing Initial Mail Response to the 2000 Census","This paper analyzes how community heterogeneity influences resident decisions to undertake actions generating public benefits. The decision in question is completing and returning the 2000 Census questionnaire, an action which secures a significant amount of federal grants for the community. The model developed to explain this action allows members of societal groups to differentially value public benefits that accrue to other group members. Racial, generational, and socioeconomic class heterogeneity all predict significantly lower response rates at the county level. The potential for endogenous sorting into heterogeneous counties implies that the magnitude of true behavioral effects exceeds these estimates.","10.1162/003465304323023822","1.0","Jacob L. Vigdor","2004.0","","","community; composition; collective; action; analyzing; initial; mail; response; census"
"Cytokine responses of human lung cells (BEAS-2B) treated with micron-sized and nanoparticles of metal oxides compared to soil dusts","The induction of cytokines by airway cells in vitro has been widely used to assess the effects of ambient and occupational particles. This study measured cytotoxicity and the release of the proinflammatory cytokines IL-6 and IL-8 by human bronchial epithelial cells treated with manufactured nano- and micron-sized particles of Al2O3, CeO2, Fe2O3, NiO, SiO2, and TiO2, with soil-derived particles from fugitive dust sources, and with the positive controls LPS, TNF-α, and VOSO4. The nano-sized particles were not consistently more potent than an equal mass of micron-sized particles of the same nominal composition for the induction of IL-6 and IL-8 secretion in the in vitro models used in this study. The manufactured pure oxides were much less potent than natural PM2.5 particles derived from soil dust, and the cells were highly responsive to the positive controls. The nano-sized particles in the media caused artifacts in the measurement of IL-6 by ELISA due to adsorption of the cytokine on the high-surface-area particles. The potency for inducing IL-6 secretion by BEAS-2B cells did not correlate with the generation of reactive oxygen species in cell-free media. Direct comparisons of manufactured metal oxide nanoparticles and previously studied types of particles and surrogate proinflammatory agonists showed that the metal oxide particles have low potency to induce IL-6 secretion in BEAS-2B cells. Particle artifacts from non-biological effects need to be considered in experiments of this type, and the limitations inherent in cell culture studies must be considered when interpreting in vitro results. This study suggests that manufactured metal oxide nanoparticles are not highly toxic to lung cells compared to environmental particles.","10.1186/1743-8977-4-2","5.0","John M. Veranth; Erin G. Kaser; Martha M. Veranth; Michael Koch; Garold S. Yost","2007.0","","","cytokine; responses; lung; cells; beas; b; micron; nanoparticles; metal; oxides; dusts"
"Infrared spectroscopic study of the acid properties of dealuminated BEA zeolites","","10.1016/s1387-1811(03)00382-2","7.0","João Pedro Marques; Isabelle Batonneau‐Gener; Philippe Ayrault; João C. Bordado; J.M. Lopes; F. Ramôa Ribeiro; M. Guisnet","2003.0","","","infrared; spectroscopic; acid; properties; bea; zeolites"
"Florida Keys Reef Visual Census 2007","In 1998, the Florida Fish and Wildlife Conservation Commission's (FWC) Fisheries Independent Monitoring (FIM) program began a long-term monitoring effort of key reef fish populations in the Florida Keys National Marine Sanctuary. This effort was aimed at evaluating the relative abundance, size structure, and habitat utilization of specific reef fish species that are targeted by commercial and recreational fisheries.","10.15468/dfyb57","2.0","Jerald S. Ault; Jim Bohnsack","2023.0","Florida","","florida; keys; reef; visual; census"
"Evidence That IRS-2 Phosphorylation Is Required for Insulin Action in Hepatocytes","Insulin receptor substrates (IRSs) are tyrosine-phosphorylated following stimulation with insulin, insulin-like growth factors (IGFs), and interleukins. A key question is whether different IRSs play different roles to mediate insulin's metabolic and growth-promoting effects. In a novel system of insulin receptor-deficient hepatocytes, insulin fails to (i) stimulate glucose phosphorylation, (ii) enhance glycogen synthesis, (iii) suppress glucose production, and (iv) promote mitogenesis. However, insulin's ability to induce IRS-1 and gab-1 phosphorylation and binding to phosphatidylinositol (PI) 3-kinase is unaffected, by virtue of the compensatory actions of IGF-1 receptors. In contrast, phosphorylation of IRS-2 and generation of IRS-2/PI 3-kinase complexes are markedly reduced. Thus, absence of insulin receptors selectively reduces IRS-2, but not IRS-1 phosphorylation, and the impairment of IRS-2 activation is associated with lack of insulin effects. To address whether phosphorylation of additional IRSs is also affected, we analyzed phosphotyrosine-containing proteins in PI 3-kinase immunoprecipitates from insulin-treated cells. However, these experiments indicate that IRS-1 and IRS-2 are the main PI 3-kinase-bound proteins in hepatocytes. These data identify IRS-2 as the main effector of both the metabolic and growth-promoting actions of insulin through PI 3-kinase in hepatocytes, and IRS-1 as the main substrate mediating the mitogenic actions of IGF-1 receptors.","10.1074/jbc.273.28.17491","6.0","Kristina I. Rother; Yumi Imai; Matilde Caruso; Francesco Béguinot; Pietro Formisano; Domenico Accili","1998.0","","","evidence; irs; phosphorylation; insulin; action; hepatocytes"
"On the Validity of Using Census Geocode Characteristics to Proxy Individual Socioeconomic Characteristics","Abstract Investigators of social differentials in health outcomes commonly augment incomplete microdata by appending socioeconomic characteristics of residential areas (such as median income in a zip code) to proxy for individual characteristics. But little empirical attention has been paid to how well this aggregate information serves as a proxy for the individual characteristics of interest. We build on recent work addressing the biases inherent in proxies and consider two health-related examples within a statistical framework that illuminates the nature and sources of biases. Data from the Panel Study of Income Dynamics and the National Maternal and Infant Health Survey are linked to census data. We assess the validity of using the aggregate census information as a proxy for individual information when estimating main effects and when controlling for potential confounding between socioeconomic and sociodemographic factors in measures of general health status and infant mortality. We find a general, but not universal, tendency for aggregate proxies to exaggerate the effects of micro-level variables and to do more poorly than micro-level variables at controlling for confounding. The magnitude and direction of these biases vary across samples, however. Our statistical framework and empirical findings suggest the difficulties in and limits to interpreting proxies derived from aggregate census data as if they were micro-level variables. The statistical framework that we outline for our study of health outcomes should be generally applicable to other situations where researchers have merged aggregate data with microdata samples.","10.1080/01621459.1996.10476918","3.0","Arline T. Geronimus; John Bound; Lisa Neidert","1996.0","","","validity; using; census; geocode; characteristics; proxy; individual; socioeconomic"
"Toxicity of Graphene in Normal Human Lung Cells (BEAS-2B)","Graphite nanomaterials such as thermally exfoliated graphite oxide (GO) are versatile in many applications. However, little is known about its effects on biological systems. In this study we characrerized the GO using dynamic light scattering (DLS) along with the toxicological aspects related to cytotoxicity and apoptosis in normal human lung cells (BEAS-2B). A significant concentration and time dependent decrease in cell viability was observed at different concentrations (10-100 microg/ml) by the MTT assay after 24 and 48 h of exposure and significant increase of early and late apoptotic cells was observed as compared to control cells. Our study demonstrates that GO induces cytotoxicity and apoptosis in human lung cells.","10.1166/jbn.2011.1224","7.0","N.V. Srikanth Vallabani; Sandeep Mittal; Ritesh K. Shukla; Alok K. Pandey; Sanjay R. Dhakate; Renu Pasricha; Alok Dhawan","2011.0","","","toxicity; graphene; normal; human; lung; cells; beas; b"
"Generating global crop distribution maps: From census to grid","","10.1016/j.agsy.2014.01.002","4.0","Liangzhi You; Stanley Wood; Ulrike Wood‐Sichra; Wenbin Wu","2014.0","","","crop; distribution; maps; census"
"Determining Methods of Underwater Visual Census for Estimating the Abundance of Coral Reef Fishes","","10.1023/a:1007679109359","2.0","Melita Samoilys; Gary Carlos","2000.0","","","methods; underwater; visual; census; abundance; coral; reef; fishes"
"A census of carbohydrate-active enzymes in the genome of Arabidopsis thaliana","","10.1007/978-94-010-0668-2_4","3.0","Bernard Henrissat; Pedro M. Coutinho; G.J. Davies","2001.0","","","census; carbohydrate; enzymes; genome; arabidopsis; thaliana"
"Florida Keys Reef Visual Census 2005","In 1998, the Florida Fish and Wildlife Conservation Commission's (FWC) Fisheries Independent Monitoring (FIM) program began a long-term monitoring effort of key reef fish populations in the Florida Keys National Marine Sanctuary. This effort was aimed at evaluating the relative abundance, size structure, and habitat utilization of specific reef fish species that are targeted by commercial and recreational fisheries.","10.15468/zq1ep2","2.0","Jerald S. Ault; Jim Bohnsack","2023.0","Florida","","florida; keys; reef; visual; census"
"Florida Keys Reef Visual Census 2008","In 1998, the Florida Fish and Wildlife Conservation Commission's (FWC) Fisheries Independent Monitoring (FIM) program began a long-term monitoring effort of key reef fish populations in the Florida Keys National Marine Sanctuary. This effort was aimed at evaluating the relative abundance, size structure, and habitat utilization of specific reef fish species that are targeted by commercial and recreational fisheries.","10.15468/7zofww","2.0","Jerald S. Ault; Jim Bohnsack","2023.0","Florida","","florida; keys; reef; visual; census"
"Source‐Sink Population Dynamics may Complicate the Interpretation of Long‐ Term Census Data","We examined the reproductive success and long—term population dynamics of Neotropical migrant birds in the fragmented landscapes of Illinois. Our primary objective was to assess whether annual variation in abundances and persistence of populations within woodlots was related to variation in reproductive success. Nesting success of migrants was so low in the woodlots where we sampled that it is unlikely that these populations are self—sustaining. Moreover, populations frequently disappear from and recolonize these woodlots. These data suggest that the source—sink metaphor for population dynamics within spatially structured populations is applicable to migratory birds in Illinois. The scale of this dynamic is unknown, but may be regional (i.e., midwestern U.S.). An important implication of this result is that census data must be interpreted carefully. For one woodlot, we detected no systematic trend in the overall abundances of migratory birds over much of the 20th century. Yet the viability of populations within that woodlot likely decreased dramatically over that time owing to increasing rates of nest predation and brood parasitism. Lack of data on dispersal is a major gap in understanding the population dynamics of Neotropical migrants and prescribing effective conservation measures.","10.2307/2265649","2.0","Jeffrey D. Brawn; Scott K. Robinson","1996.0","","","source; sink; population; dynamics; interpretation; long; term; census"
