title,abstract,source,is_fsrdc
Burning Cash for Growth: Success and Failure Case Studies of Startups,"Rachmad, Yoesoep Edhie. 2020. Burning Cash for Growth: Success and Failure Case Studies of Startups. International Journal of Startup Research, Volume 18, No 2. https://doi.org/10.17605/osf.io/sw3m5


        
In his 2020 publication ""Burning Cash for Growth: Success and Failure Case Studies of Startups,"" featured in the ""International Journal of Startup Research,"" Volume 18, Issue 2, Yoesoep Edhie Rachmad critically examines the outcomes of startups that adopt high-cash-burn strategies to fuel rapid growth. This study juxtaposes case studies of both successful and unsuccessful startups to dissect the factors that influence the results of such aggressive financial strategies.
Background: Set against the backdrop of a highly competitive startup environment, the research investigates the increasing tendency among startups to expend large amounts of capital in short periods. This approach is often aimed at capturing market share, accelerating product development, and scaling operations before achieving profitability.
Definition and Basic Concepts: The ""burning cash for growth"" strategy is defined as startups' intentional spending of capital at a rate that exceeds their current revenue generation. The aim is to achieve accelerated growth and market penetration. This strategy is commonly supported by substantial venture capital investment with the expectation of achieving rapid scalability and long-term gains.
Phenomenon: This phenomenon is rooted in the venture capital model, which encourages rapid growth to establish market dominance or achieve technological breakthroughs. The approach reflects a broader trend within the tech industry and other sectors where market conditions favor first movers and disruptors.
Problem Formulation: The main challenge explored in the research is to understand when and why burning cash leads to success or failure in the startup ecosystem. It also seeks to identify the critical factors that should guide startups' decisions regarding spending for growth.
Research Objectives: The objectives include analyzing the strategic use of high-cash-burn rates in various contexts and determining the key variables that predict success or failure. The study aims to provide actionable insights for startups considering this risky yet potentially rewarding approach.
Qualitative Research Methodology: The methodology employs a comparative case study approach, analyzing a series of startups that have either succeeded spectacularly or failed disastrously after implementing high-cash-burn strategies. Detailed interviews with founders, investors, and industry analysts enrich the study with diverse perspectives on the causes and effects of these financial strategies.
Criteria and Respondent Selection: Respondents were selected based on their direct involvement in startups with notable cash-burn strategies. The study includes 12 startups across technology, consumer goods, and service industries, each providing a distinct context and outcome for analysis.
Research Indicators: Indicators of success or failure include the startup’s ability to achieve sustainable market presence, the subsequent rounds of funding secured, profitability milestones, and the ultimate viability of the business.
Operational Variables: These variables consist of the rate of cash burn, the timing and scale of investments, the specific objectives targeted by the expenditures (e.g., market expansion, technology development), and the efficiency of capital utilization.
Determining Factors: The research identifies several key factors impacting the outcomes of high-cash-burn strategies, such as the clarity of strategic vision, market readiness for the product or service, competitive landscape, and the startup’s ability to adapt to changing market conditions.
Research Findings: The findings illustrate that while some startups achieve rapid growth and market dominance through high-cash-burn strategies, others suffer from premature scaling, depleted resources, and strategic misalignments that lead to failure. The success of the strategy heavily depends on precise execution and favorable market conditions.
Conclusion and Recommendations: The study concludes that burning cash for growth is a high-risk strategy that can yield high rewards under the right circumstances. It recommends that startups employing this strategy should have a clear, scalable business model, robust financial controls, and contingency plans to manage risks associated with rapid spending. Moreover, continuous market validation and strategic flexibility are crucial for adjusting the course as needed.
This research provides a nuanced view of the high-cash-burn strategy in startups, offering vital lessons and guidelines for entrepreneurs and investors navigating this high-stakes approach to business growth.
",step2,True
ERP Investments and the Market Value of Firms: Toward an Understanding of Influential ERP Project Variables,"This study contributes to the growing body of literature on value enterprise resource planning (ERP) investments at firm level. Using an organization integration lens that takes into account in complementary resources as well options thinking logic about ERP platform, we argue not all purchases have same potential impact level due project decisions made time purchase. Based a sample 116 investment announcements United States–based firms between 1997 and 2001, find support for our hypotheses projects with greater functional scope (two or more value-chain modules) physical (multiple sites) result positive, higher shareholder returns. Furthermore, highest increases returns (3.29%) are found scope; negative lesser scope. These findings provide empirical prior theory organizational benefits systems, contribution business IT investments, growth associated platform investments. The article concludes implications firm-level this first wave systems.",step2,True
A Behavioral Understanding of Investment Horizon and Firm Performance,"Observers have argued that firms overly emphasize short-term results at the expense of long-run value. Using a behavioral perspective, we analyze three hypotheses related to this general argument. First, examine association investment time horizons with firm performance, contributing new theory argues for quadratic rather than linear association. Second, because tendency toward immediate could reflect stock market pressures, consider how interaction investor patience and horizon relates performance. Third, argument’s implication most level where marginal increases in associate positively Measuring as expected useful lives capital expenditures, find empirical support hypothesized relation large-scale, multiyear sample U.S. publicly held manufacturing confirm majority region our models predict influence We also positive returns occur when long investments are aligned patience.",step2,True
"Examining the effect of depression, anxiety, and stress on longitudinal drinking outcomes following an alcohol-focused personalized feedback intervention","Both single component personalized normative feedback (PNF) and multicomponent computerized personalized feedback interventions (PFI) reduce drinking norms, alcohol use, and alcohol-related consequences among college students (Larimer et al, 2022). There is some evidence that the presence of mental health symptoms may impact the efficacy of alcohol-focused brief interventions. Although some studies demonstrate reduced effectiveness of PFI in reducing alcohol use and consequences for students with elevated depression (Geisner et al., 2015) or social anxiety (Terlecki et al., 2012), others find PFI to demonstrate significant effects for reducing consequences for those with mild-moderate levels of depression (Miller et al., 2020). Intervention outcomes could differ by severity of mental health symptoms, as well as the complexity of intervention (e.g., single-component versus multicomponent PFI). To improve prevention efforts and provide tailored feedback that is most relevant to college students, clinical researchers must first understand whether undergraduates with elevated mental health symptoms benefit from existing universal prevention efforts, and if so, which type of personalized feedback is most effective. Results from this work will guide adaptations to PNF/PFI to address the needs of individuals vulnerable to both mental health symptoms and substance use problems. 

The present study seeks to test whether baseline levels of depression, physical anxiety, and stress symptoms moderate the association between receipt of a PFI intervention and drinking-related outcomes at 3-, 6-, and 12-months post-intervention.",step2,True
Secondary Analysis of Web-scraped Data to Examine Effects of the Changing Child Care Market on Parents' Access to Child Care,"This research uses data from Google Maps, Yelp, and Care.com to collect parents' opinions on ECE access and data from the Nonemployee Statistics from the Census Bureau to track changes in the number of HBCC providers at the state level. To analyze the data, we employed a topic modeling approach to identify topics related to ECE access, which were mapped to four of the Office of Planning, Research, and Evaluation’s (OPRE) five dimensions of access.",step2,True
Establishing determinant relevance using CIBER: an introduction and tutorial,"When developing behavior change interventions, it is important to target the most important determinants of behavior (i.e. psychological constructs that predict behavior). This is challenging for two reasons. First, determinant selection requires integrating multiple information sources: determinants' associations with either behavior or with determinant that mediate their effect on behavior (i.e. effect sizes), as well as how much room for improvement there is in the population (i.e. means and spread). Second, only information from samples is normally available, and point estimates obtained from samples vary from sample to sample, and therefore cannot be interpreted without information about how much they can be expected to vary over samples. In practice, determinant studies often present multivariate regression analyses, but this is problematic because by default, shared covariance is removed from the equation (literally), compromising operationalisations' validity and affecting effect sizes (i.e., the results of such analyses cannot be used as a first source of information regarding each determinant's association to behavior). In the present contribution, we will briefly explain these points in more detail, after which we will introduce a solution: confidence interval based estimation of relevance (CIBER). We will then present a brief tutorial as to how to generate CIBER plots and how to interpret them. This is a more detailed explanation and introduction: originally, CIBER was published in Crutzen, Peters &amp; Noijen (2017).",step2,True
Corporate Restructuring,"A corporate entity which is in financial distress can resolve its predicament in two broad approaches. The first is by engaging in a formal bankruptcy procedure, which commonly involves a court, and enables the debtor to deal with creditors collectively. Alternatively, it can engage in an out of court restructuring based around negotiations with individual creditors. This article focuses on the engagements of corporate restructuring outside the formal statutory insolvency procedure and in particular prenegotiated deals, private workouts and pre-packs. The first section of the article provides a background to the out of court restructuring and underscores the many advantages it holds as compared to the formal insolvency proceedings. It then explores the development and usage of selected informal approaches to corporate restructuring. It concludes with an analysis of the place of informal strategies in Kenya. It is argues for the need to develop a functional equivalent of a workout which allows for the possibility of having mechanisms tailored on realities of a developing economy. However, having an effective workout is hugely dependent on the existence of reliable formal mechanisms to at least act as a threat of enforceable legal approach, and the weaknesses inherent in the Kenya formal mechanisms may be an impediment.",step2,True
Synthetic population data for small area estimation in the United States," Small area estimation is critical for a wide range of applications, including urban planning, funding distribution, and policy formulation. Individual-level population data, which typically include each individual’s socio-demographic characteristics and small area location, are a rich source of information for small area estimation. However, individual-level population data are often not made public due to confidentiality concerns. This paper describes the development of a public-use synthetic individual-level population dataset in the United States that can be useful for small area estimation. This dataset contains characteristics of housing type, age, sex, race, and Hispanic or Latino origin for all 308,745,538 individuals in the United States at the census block group level, based on publicly available aggregated data from the 2010 Census. Experimental results suggest the validity of the synthetic data by comparing it to different data sources, and we show examples of how this dataset can be used in small area estimation. ",step2,True
"Earnings, labor market dynamics, and inequality in Sweden","AbstractIn this paper, we develop a comprehensive model of earnings and labor market dynamics, where employment and job change are endogenous. The model is estimated by applying the method of indirect inference on Swedish register data, and then used to carry out some policy experiments. There are three key conclusions from these experiments. First, employment shocks early in life can, to a larger extent, be mitigated before retirement compared with employment shocks occurring later. Second, we find that idiosyncratic productivity shocks, unobserved heterogeneity, and education contribute substantially to life‐cycle earnings inequality. Finally, we find that transitory shocks to employment risk have negative effects on earnings and employment in the short run but may increase labor market fluidity in the medium run.",step2,True
Hospital Prices,"Over 150 million Americans receive health insurance through an employer or union. Most employers rely on insurance companies to act as agents and negotiate prices with hospitals and other health care providers and both design and administer benefits. While this contracting structure should create incentives to constrain costs, recent empirical work has highlighted both the wide variability in prices paid by employer plans and the high level of prices relative to Medicare and other public payers.
Hospital and insurer markets are imperfectly competitive, and several recent studies have modeled hospital prices as equilibrium outcomes of bargaining between hospitals and insurers; Ho and Lee (2017) also link hospital price setting to insurer market structure and bargaining over premiums between insurers and employers. However, little existing work has examined how insurer monopoly power with employers leads to monopsony power in the hospital market. If negotiating prices requires substantial effort (i.e., transaction costs), then insurers with monopoly power in the insurance market may be unwilling or unable to exploit their monopsony power in bargaining with hospitals.
Relatedly, existing literature has only briefly examined how the structure of hospital-insurer contracts explains pricing patterns. Hospital-insurance contracts range from contracts that specify a multiplier of Medicare rates, contracts that use a discounted rate of billed charges, and contracts that separately negotiate different prices for different procedures. The characteristics of hospitals, employers, and insurers that use these various contracting forms is not known, and the literature on insurer-hospital bargaining has not incorporated variation in the form of insurer-hospital contracts into structural models.
Finally, while the existing literature finds that many physician contracts are based on a percentage of Medicare, the influence of Medicare payments on hospital prices paid by private insurers has only rarely been examined. Cooper et al. (2019) documented that percentage-of-Medicare contracts are less common among hospitals than among physicians. We will follow the approach of Clemens &amp; Gottlieb (2017) and examine how administrative updates to Medicare payment rates influence private insurance prices for inpatient and outpatient hospital care.
1.1.1.	Overview
In this project, we will use a multi-state, multi-payer database of hospital claims to provide new evidence on how hospital prices paid by private insurers are determined across a broader cross-section of US hospital markets and payers than has previously been examined.
The ultimate goal of this study is to develop and estimate a structural model of hospital-insurer bargaining that is capable of explaining price variation observed within hospital markets, individual hospitals, and hospital-insurer pairs as an equilibrium outcome of hospital-insurer bargaining. Our modeling approach will build on the framework developed by Gowrisankaran, Nevo, Town (2015), and related papers, but extend their model to incorporate data on the form of hospital-insurer contracts, perhaps by allowing for transaction costs associated with insurer bargaining that depend on the contract form. In order to inform this modeling effort, we have also planned a number of descriptive analyses that are pre-specified in this analysis plan.
Many of our initial analyses will focus on basic descriptive statistics characterizing the degree of variation in hospital prices and the associations between hospital prices and factors such as hospital market structure, insurer market structure, and employer characteristics, as in Cooper et al. (2019). We will also use a new method for inferring hospital contract structure from claims data to describe the prevalence and correlates of Medicare-based, charge-based, and other contract forms, as well as associations between contract form and price. After describing the extent of cross-sectional variation in hospital prices and the relative importance of variation across hospitals, within hospitals across insurers, and within hospital-insurer pairs across employers, we will also use linear regression models to describe the association between prices and market structure while controlling for hospital, insurer, employer, and market characteristics. Finally, we will follow previous studies (Cooper et al. (2019) for hospitals and Clemens and Gottlieb (2017) for physicians) and reexamine the relationship between Medicare payments and private hospital prices.
Contributions
Many of our initial descriptive analyses are intended to replicate or reexamine those conducted in several recent studies on hospital prices, particularly Cooper et al. (2019) and Craig, Ericson and Starc (2018). Compared to these papers and other studies that have described variation in hospital prices, an innovation of our study is the use of a unique claims database with unprecedented breadth in terms of the scope of payers included and geographic diversity. In contrast to the HCCI data used by Cooper et al. (2019), which contain claims from three of the five largest nationwide insurers, our data include claims from some BCBS insurers. We also use all-payer claims database (APCD) data from seven states, which captures fully-insured business in the small group market, including smaller insurance carriers that are not captured in more widely used multi-payer commercial claims datasets such as Marketscan or HCCI. While Craig, Ericson, and Starc (2018) analyze a broad range of payers using data from the Massachusetts APCD, our claims database includes employers in several states, providing us with many more hospital markets and, potentially, greater cross-sectional variation in market structure with which to examine hospital price determination. Finally, we will provide new evidence on the role of contract structure as a mechanism explaining hospital price variation.
1.1.2.	Research Questions
1.	What is the effect of the contracting form on the hospital-insurer negotiated prices?
2.	How does contract form and hospital prices vary with the degree of employer, insurer, and provider market power?
3.	Describe variation in hospital prices across wider set of payers and health care markets than in previous literature
•	Within a hospital market and within a hospital, how do prices and contract form differ between small payers in the competitive fringe and large, multi-state insurers examined in the previous literature
4.	Describe variation in payer-hospital contract form (% Medicare vs. % of Charges). Does variation in contract form reflect frictional costs (e.g., costly bargaining effort paid by insurer)?
5.	How do employer characteristics affect insurer-hospital bargaining outcomes, including contract form and hospital price.
•	Employer characteristics include firm size, industry, ASO vs. fully-insured, firm concentration (relative to local labor market) 
6.	Do hospital responses to payment changes vary with hospital market structure? When do payment reductions result in a) hospital cost savings/greater efficiency vs. b) reduced profits with no change in efficiency c) cost-shifting to other payers?
•	Treat Medicare updates as exogenous payment changes?",step2,True
An ontology of scientific uncertainty : methodological lessons from analyzing expressions of uncertainty in food risk assessment,"The relationship between scientific knowledge and uncertainty in science has been a central question risk analysis. There have several conceptualizations of but most normative efforts to construct an ontology on the basis theoretical considerations there few empirical attempts build such through textual Studies investigating how ontologies work are equally scarce. We developed investigate assessment food safety comparing EU US, two main domains safety: biohazards contaminants. gauges expressions ways: one looks for stylistic clues judgment, other registers content expressed documents. built large data base where English language documents by European Food Safety Agency three US agencies primarily responsible coded according our ontology. also process creating software that uses machine-learning algorithm code database. In paper, we lay out approach uncertainty, then describe assess safety. discuss results from supervised Machine Learning implications both method machine coding insights gained human coding. Finally, some findings using testing sets hypotheses. first at differences national styles applied research, second epistemic cultures subfields third about effect research new uncertainty.",step2,True
Harry and the Other: Answering the Race Question in J. K. Rowling's &lt;i&gt;Harry Potter&lt;/i&gt;,"Harry and the Other:Answering Race Question in J. K. Rowling's Potter Jackie C. Horne (bio) As Farah Mendlesohn notes her essay ""Crowning King: Construction of Authority,"" ""attempting to write a critique body work that is clearly unfinished challenge any academic"" (159). Despite such difficulties, literary critics, including Mendlesohn, found interpretive too tempting when it came analyzing series. Unfinished though was until 2007, critics could not resist putting forth arguments about novels, world(s) they depict, only be proven definitively once series had concluded. One issue particular has led vastly different interpretations series: books' stance on issues race ethnic otherness. many readers have noted, books are deeply invested teaching their protagonists (and through them, readers) how confront, eradicate, ameliorate racism its depiction underlies Voldemort's campaign against ""Mudbloods."" This will discuss two intellectual traditions antiracism education—multicultural social justice – explore Rowling draws upon each order show both approach challenging task fighting racism. It also implications decision privilege multicultural pedagogy over approach. The critical response ethnicity been varied, say least. On one end spectrum, as Karin E. Westman suggested novels offer trenchant ""materialist ideologies difference,"" Brycchan Carey argues demonstrates ""opportunities for political activism available young people real world"" (Westman, ""specters"" 328; 104). Such believe texts create an implied [End Page 76] reader who asked condemn wizarding world—not distinction between ""Mudbloods"" ""pure bloods"" voiced by more extreme members, but limitations rights sentient others foundation enslavement house elves. other spectrum can Mendelsohn, argue ""Rowling's world fantasy hierarchy prejudice"" (177). In those texts' attitudes toward contradictory, simultaneously embracing radical conservative traditionalism (Ostry, Anatol). Now final volume published, which these positions text supported most convincingly? begin answer this question, I believe, we must look first at themselves, word concept. For, Alistair Bonnett points out his history term various movements claimed or disavowed it, ""different forms often operate with definitions what is"" (4). Different find liberal relations because some right wrong, draw thought constitutes racism, remedies required overcome it. general relative newcomer English language. Although ""anti-racist"" dates 1930s, according Oxford Dictionary, widely used 1960s, then primarily countries where either French spoken (Bonnett 10). During very concept emerged, were from start tension another. While agree centers ""those and/or practice seek racism,"" differ label steps should taken eradicate line thought, roots European Enlightenment, for...",step2,True
Employer / Employee Ghosting,"""Ghosting"" in work environments refers to a sudden disappearance or an unexpected termination of communication without providing any prior notice or explanation, particularly in job interviews. Candidates may fail to attend interviews or show up for their first day of work without explanation, leaving employers confounded. This concept draws parallels from the dating literature, where individuals may suddenly cut off contact with romantic partners without explanation. This study seeks to investigate this phenomenon and factors causing it and focus on ways to prevent it.

We are examining the factors that lead to prospective employees, current employees, or job applicants to ""ghost"" an employer. Ghosting meaning not showing up for work or for an interview without notice. We did a qualitative study and found that job prestige, firm reputation, integrity, personality (e.g., shyness / social anxiety) all played a role in self-reported intentions or previous ghosting behaviors. 

Thus, the present research was designed to test these factors in a longitudinal study.",step2,True
Public Subsidies for Higher Education in California: An Exploratory Analysis of Who Pays and Who Benefits,"This study examines the racial and ethnic distribution of costs benefits higher education in California. exploratory work documents these benefits, form enrollments different sectors types institutions, as well on costs, share borne by families versus state. The builds Hansen Weisbrod, who examined for California students from income groups. utilizes data a variety sources, including Postsecondary Education Commission, Student Aid EdFund California, National Center Statistics, U.S. Census Bureau, other agencies departments",step2,True
Understanding family firm innovation heterogeneity,"Purpose– In family business studies, inconsistent findings exist regarding the relationship between family involvement and firm innovation. The purpose of this paper is to understand the heterogeneity of family firm innovation.Design/methodology/approach– The authors draw on governance literature and the socioemotional wealth (SEW) perspective to examine how the extent of family governance and the type of SEW objectives jointly influence innovation strategies in family firms.Findings– The authors develop a typology of family firm innovation strategies, positing that the family firm’s risk orientation, innovation goal, and knowledge diversity vary depending on the degree of family involvement in governance and the type of SEW objective. The authors propose that four family firm innovation strategies (e.g. Limited Innovators, Intended Innovators, Potential Innovators, and Active Innovators) emerge when family involvement in the dominant coalition (high or low) is contrasted with the SEW objective (restricted or extended) pursued by the family.Practical implications– Understanding how governance and SEW goals work together to influence the firm’s innovation strategies is potentially valuable for managers of family firms. The authors offer practical suggestions for how to strategically reposition the firm to pursue innovation strategies more in line with those of the Active Innovator.Originality/value– This study contributes to the family business literature by using a multi-dimensional approach to examine family firm heterogeneity. In addition, by articulating various family firm innovation strategies, the authors offer insight into the previously inconsistent findings concerning firm innovation behavior and outcomes in family business studies.",step2,True
Antecedents and consequences of employee engagement,"PurposeEmployee engagement has become a hot topic in recent years among consulting firms and in the popular business press. However, employee engagement has rarely been studied in the academic literature and relatively little is known about its antecedents and consequences. The purpose of this study was to test a model of the antecedents and consequences of job and organization engagements based on social exchange theory.Design/methodology/approachA survey was completed by 102 employees working in a variety of jobs and organizations. The average age was 34 and 60 percent were female. Participants had been in their current job for an average of four years, in their organization an average of five years, and had on average 12 years of work experience. The survey included measures of job and organization engagement as well as the antecedents and consequences of engagement.FindingsResults indicate that there is a meaningful difference between job and organization engagements and that perceived organizational support predicts both job and organization engagement; job characteristics predicts job engagement; and procedural justice predicts organization engagement. In addition, job and organization engagement mediated the relationships between the antecedents and job satisfaction, organizational commitment, intentions to quit, and organizational citizenship behavior.Originality/valueThis is the first study to make a distinction between job and organization engagement and to measure a variety of antecedents and consequences of job and organization engagement. As a result, this study addresses concerns about that lack of academic research on employee engagement and speculation that it might just be the latest management fad.",step2,True
"Environmental quality, local infrastructures, and residential choice: A survey experiment on ethnic differences in neighborhood preferences","# Description and motivation of hypotheses

Stratification research increasingly recognizes that inequalities are location dependent, that is, clustered in space, with neighborhoods often being the locus of inequality (Sharkey 2008). One crucial dimension of spatial inequality is environmental quality (e.g., pollution levels or proximity to green spaces). Environmental quality at the place of residence has been shown to affect health and life chances more broadly. Robust associations and plausibly causal effects of environmental quality have been demonstrated for numerous key outcomes, including physical (Currie and Walker 2011) and mental health (Engemann et al. 2019, Zhen et al. 2019, Roberts et al. 2019), crime (Bondy et al. 2020), educational attainment (Heissel et al. 2019, Persico 2020, Persico and Venator 2021), and economic mobility (O’Brien et al. 2018). 

From the literature on “environmental justice”, we know that some population subgroups are disproportionately exposed to environmental hazards at their place of residence (Ash and Boyce 2018, Sobotta et al. 2007, Engemann et al. 2019). The processes that underlie this empirical regularity are not well understood, however. One prominent explanation is that environmental inequality is a result of market mechanisms whereby low-income groups are forced to settle in less attractive neighborhoods with lower housing prices. However, studies from both the US (Downey and Hawkins 2008) and also Germany (Rüttenauer 2018) have shown that ethnic minorities bear a disproportionate burden of environmental hazards at the neighborhood level, even after controlling for income and other aspects of socio-economic status (SES). Therefore, these purely economic explanations of selective in- and out-migration appear insufficient for explaining the spatial distribution of environmental goods and bads observed. 

This conclusion is underlined by a recent longitudinal study that finds native German households to experience improvements of environmental quality at the place of residence conditional on moving, whereas minority households do not (Best and Rüttenauer 2018).  Best and Rüttenauer (2018) have no direct information on the factors shaping relocation decisions, so it remains largely unclear why minorities are less likely to move into better neighborhoods, but financial resources seem to play a rather minor role.
This pre-registration outlines a conjoint survey experiment aimed to test the role of residential preferences as a possible explanation of population sorting that is difficult to assess with observational data. 

Within our survey experiment, respondents of immigrant and non-immigrant origins will be presented with several pairs of neighborhood profiles and will be asked to choose in which of these neighborhoods they would rather live in. The different neighborhood profiles will be random combinations of several key attributes that might affect residential choices. Comparing the sensitivity of residential choices to different attributes across respondents with and without immigrant origins will help us better understand to what extent empirical patterns of residential segregation reflect the realization of different preferences or whether empirical patterns are rather due to structural explanations such as economic resources or discrimination in the housing market. Crucially, the experiment allows us to separate, and thereby disentangle, the role of factors that are empirically correlated, most importantly environmental quality and the presence of co-ethnics and ethnic infrastructures.",step2,True
Estimating freight origin destination matrices using combined commodity flow survey and roadside survey data,"The paucity of available data was limiting studies of freight flow in Thailand. To overcome this problem, commodity flow survey (CFS) and comprehensive freight transportation by truck using roadside survey (RS) were launched to collect comprehensive freight flow data throughout the kingdom of Thailand. Since these two surveys were pioneering and due to budgetary limitations, the resulting data are still incomplete and must be adjusted. The need to produce a freight origin destination matrix using available data from CFS and RS led to the objectives of this research. This research has two main objectives. The first is to develop a methodology for combining CFS and RS. The second is to develop a method for filling gaps in the origin destination matrix based on the Adaptive Neuro Fuzzy Inference System (ANFIS) approach. The methodology to combine these two data sources was developed which uses the strengths of each method, the CFS distribution pattern and the RS marginal total. The first method is Trip Length Distribution Adjusting (TLDA), which uses adjustments to CFS trip length distribution to meet RS marginal total. The second method is Gravity Model Approach (GMA), which uses CFS friction functions to adjust RS data matrix. The method was calibrated using two difference sources of roadside survey. The results indicated that the adjusted volumes of the two data sources agreed despite being collected at different times and by different authors, and that the differences between the total adjusted volumes were quite small. It can therefore be concluded that the developed method can be used to adjust the data. For the second component, a model using BOX-COX transformation and Adaptive Neuro Fuzzy Inference system (ANFIS) was developed and verified against a convention gravity model. Two types of model, using convention gravity variables and using socio-economic variables, were developed. The results showed that the ANFIS model outperformed both the conventional gravity model and the BOX-COX model. These results proved the performance of the adaptive neuro fuzzy inference system for modeling complex system and its ability to model freight trip distribution.",step2,True
Antiretroviral Therapy Adherence Dynamics Among Supplemental Nutrition Assistance Program (SNAP) Beneficiaries,"Lack of adherence to antiretroviral therapy (ART) remains one of the greatest barriers to ending the HIV epidemic in the US, including in Philadelphia — one of 48 counties selected as priority jurisdictions by the US Department of Health and Human Services Ending the HIV Epidemic Initiative (EHE). Understanding the role of poverty alleviation interventions in shaping HIV outcomes is vital for addressing EHE priorities, with 40% of people with HIV (PWH) in the US living below the poverty line. Poverty alleviation may affect HIV outcomes not only through economic mechanisms but also through psychological mechanisms (i.e., improvements in mental bandwidth, future orientation). Nearly 40% of PWH in the US participate in the Supplemental Nutrition Assistance Program (SNAP), which provides cash-like benefits to low-income households to buy food and has been shown to reduce poverty through mechanisms such as improved food security and long-run employment. Two features of SNAP benefit delivery allow estimation of causal effects of cash transfers on antiretroviral therapy (ART) adherence. First, SNAP benefit receipt leads to a significant but temporary increase in one’s ability to meet daily needs (i.e., alleviating scarcity), leading to a monthly “SNAP cycle” of spending behaviors, food security, and health outcomes. Second, payment timing within each month is based on a recipient’s case number, which is essentially random. We will leverage these characteristics to assess the causal effects of short-term scarcity alleviation on ART adherence and the psychological processes underlying decision-making. We will conduct a 4 month longitudinal study of 60 PWH with SNAP in Philadelphia who report missing ≥2 doses of ART over the prior 30 days. We will assess the effect of SNAP receipt on ART adherence by using electronic pill bottle caps (CleverCaps) and comparing adherence before and after payment in regression models that include individual and month fixed effects. Our central hypothesis is that SNAP receipt is associated with higher daily adherence. This will be one of the first studies of the effect of America’s largest cash transfer program on HIV behaviors, and the potential mechanisms behind this effect. Our long-term goal is to generate evidence on poverty alleviation’s effects on HIV outcomes and to develop innovative poverty-alleviating interventions to improve HIV outcomes.",step2,True
Childbearing intention and childbearing behavior in low fertility society: evidence from Shanghai,"AbstractExploring the patterns of population change under low fertility is a historical mission for demographic research in the 21st century. Taking Shanghai as an example, this paper discusses the new patterns and characteristics of people’s childbearing intention and behavior under low fertility settings. The results show that Shanghai, as a typical society with ultra-low fertility, people’s childbearing intention and behavior demonstrate the characteristics such as “downward inconsistency” between childbearing intention and childbearing behavior, “convergence” of childbearing intention and childbearing behavior between different sub-groups, “inversion” in childbearing intention and childbearing behavior with education and income, and the “decoupling” between marriage and childbearing. The childbearing intention and behavior of low fertility society as seen in the case of Shanghai show the patterns as somehow different from what was observed in a high fertility society. It suggests that many of the childbearing patterns shown in the high-fertility era may not necessarily be applicable in low fertility settings, and urges more research to be carried out in this regard.",step2,True
Barriers and facilitators to  fertility behavior of Chinese couple in childbearing age: A scoping review,"Population dynamics play a crucial role in shaping global socioeconomic development. Since the mid-20th century, a notable decline in global fertility rates has emerged as a widespread phenomenon. Specifically, between 1950 and 2021, the global fertility rate decreased from 4.84 to 2.23. According to the most recent decennial census, China's population stands at approximately 1.41 billion, constituting nearly 18% of the global populace. Based on data from the ""Seventh National Population Census,"" China's fertility rate has now positioned the country among those with ultra-low fertility rates. China's fertility rate has undergone an especially marked reduction, falling from 5.8 to 1.15, a decrease that significantly surpasses the global average. In light of the ongoing decline in fertility rates, projections from the ""World Population Prospects 2024"" indicate that substantial demographic shifts are expected. Under the medium variant scenario, it is projected that China's total population will decrease to 1.26 billion by 2050 and further decline to 0.63 billion by 2100.
These transformations are anticipated to exert significant influence on China's economic development and social structure, manifesting in phenomena such as labor shortages and accelerated population aging.Furthermore, they are likely to present challenges to global sustainable development, impact the international economic landscape, and potentially lead to the decline of civilizations.
In the examination of the multifaceted factors contributing to the decline in fertility rates, it is widely recognized within the academic community that couples of reproductive age represent a critical demographic for targeted interventions. Their childbearing behaviors exert a direct and substantial influence on overall fertility rates. Since the previous century, considerable scholarly attention has been devoted to investigating the fertility behaviors of couples within this demographic.Hofmann, Barbara, and her colleagues have conducted an analysis of the economic conditions that influence fertility behaviors. Their findings suggest that job displacement during economic downturns adversely impacts women's fertility, indicating that economic factors may serve as barriers to childbearing. Additionally, research by Axinn, William G., and colleagues demonstrates that emotional connections between spouses significantly affect fertility decisions, with a strong marital bond often facilitating the decision to have children, even in the absence of economic rationality. However, these research findings may not be entirely generalizable to the Chinese context, and there is a conspicuous lack of systematic reviews examining the fertility behaviors of couples of childbearing age in China. 

This study seeks to identify, appraise, and synthesize the barriers and facilitators influencing the fertility behaviors of Chinese couples of childbearing age.",step2,True
"Technical Memorandum for Project 0871 ""Measuring the Impact of Trade on the U.S. Economy""","An increasingly important issue is the size and scope of trade in services. Official statistics report that services account for roughly one-third U.S. exports gross terms recent papers constructing value-added suggest more than half on a basis. A difficulty with measuring sector general particular service activities delivery technologies are evolving rapidly. It remains an open question as to whether statistical system broadly Census Bureau doing effective job For example, does collect export information from some sectors, but not all. Project 0871 “Measuring Impact Trade Economy” developed methodology produce estimates costs nearly every 6-digit NAICS code Economic Census. The paper currently peer review process, so considered final. This memorandum will use current purposes discussion, assumption be close final estimates.",step2,True
